title	publisher	urls	eIssn	pIssn	subjects	society	empty
Journal of Experimental Medicine	The Rockefeller University Press 	http://jem.rupress.org 	1540-9538 	0022-1007 	Biochemistry Cell Biology Immunology Infectious Diseases Microbiology Neuroscience Nutrition Pharmacology Physiology Radiology Sports and Exercise Medicine 	The Rockefeller University Press 	
Journal of Family History	SAGE Publications 	http://jfh.sagepub.com 	1552-5473 	0363-1990 	Unknown	National Council on Family Relations 	
Journal of Family Issues	SAGE Publications 	http://jfi.sagepub.com 	1552-5481 	0192-513X 	Unknown	National Council on Family Relations 	
Journal of Family Nursing	SAGE Publications 	http://jfn.sagepub.com 	1552-549X 	1074-8407 	Unknown	Unknown	
Journal of Feline Medicine and Surgery	SAGE Publications 	http://jfm.sagepub.com 	1532-2750 	1098-612X 	Unknown	International Society of Feline Medicine (ISFM) and AAFP 	
Journal of Financial Econometrics	Oxford University Press 	http://jfec.oxfordjournals.org 	1479-8417 	1479-8409 	Unknown	Oxford University Press 	
Journal of Fire Protection Engineering	SAGE Publications 	http://jfe.sagepub.com 	1532-172X 	1042-3915 	Unknown	Society of Fire Protection Engineers 	
Journal of Fire Sciences	SAGE Publications 	http://jfs.sagepub.com 	1530-8049 	0734-9041 	Unknown	Unknown	
The Journal of General Physiology	The Rockefeller University Press 	http://jgp.rupress.org 	1540-7748 	0022-1295 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics Immunology Materials Science Medicine Microbiology Neuroscience Nutrition Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Respiratory Medicine Rheumatology Statistics Surgery Virology 	The Rockefeller University Press 	
Journal of General Virology	Society for General Microbiology 	http://vir.sgmjournals.org 	1465-2099 	0022-1317 	Accident and Emergency Medicine Agriculture Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Earth Sciences Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oceanography Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Population Biology Psychiatry Psychology Radiology Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Signal Transduction Sociology Statistics Surgery Travel Medicine Virology Women's Health 	Society for General Microbiolgy 	
Journal of Generic Medicines: The Business Journal for the Generic Medicines Sector	SAGE Publications 	http://jgm.sagepub.com 	1741-7090 	1741-1343 	Unknown	Unknown	
Journal of Geriatric Psychiatry and Neurology	SAGE Publications 	http://jgp.sagepub.com 	1552-5708 	0891-9887 	Unknown	Unknown	
Journal of Gerontology	Oxford University Press 	http://geronj.oxfordjournals.org 	Unknown	0022-1422 	Unknown	The Gerontological Society of America 	
The Journals of Gerontology Series A: Biological Sciences and Medical Sciences	Oxford University Press 	http://biomedgerontology.oxfordjournals.org 	1758-535X 	1079-5006 	Unknown	The Gerontological Society of America 	
The Journals of Gerontology Series B: Psychological Sciences and Social Sciences	Oxford University Press 	http://psychsocgerontology.oxfordjournals.org 	1758-5368 	1079-5014 	Unknown	The Gerontological Society of America 	
Journal of Hand Surgery (European Volume)	SAGE 	http://jhs.sagepub.com 	2043-6289 	1753-1934 	Unknown	British Society for Surgery of the Hand  	
Journal of Health and Social Behavior	SAGE Publications 	http://hsb.sagepub.com 	2150-6000 	0022-1465 	Unknown	American Sociological Association 	
Journal of Health Management	SAGE Publications 	http://jhm.sagepub.com 	0973-0729 	0972-0634 	Unknown	Unknown	
Journal of Health Politics, Policy and Law	Duke University Press 	http://jhppl.dukejournals.org 	1527-1927 	0361-6878 	Unknown	Unknown	
Journal of Health Psychology	SAGE Publications 	http://hpq.sagepub.com 	1461-7277 	1359-1053 	Unknown	Unknown	
Journal of Health Services Research & Policy	Royal Society of Medicine Press 	http://jhsrp.rsmjournals.com 	Unknown	1355-8196 	Unknown	Royal Society of Medicine Press 	
Journal of Heredity	Oxford University Press 	http://jhered.oxfordjournals.org 	1465-7333 	0022-1503 	Genetics Genomics 	American Genetic Association 	
The Journal of Hindu Studies	Oxford University Press 	http://jhs.oxfordjournals.org 	1756-4263 	1756-4255 	Unknown	The Oxford Centre for Hindu Studies 	
Journal of Hispanic Higher Education	SAGE Publications 	http://jhh.sagepub.com 	1552-5716 	1538-1927 	Unknown	Unknown	
Journal of Histochemistry & Cytochemistry	SAGE Publications 	http://jhc.sagepub.com 	1551-5044 	0022-1554 	Unknown	 The Histochemical Society 	
Journal of Holistic Nursing	SAGE Publications 	http://jhn.sagepub.com 	1552-5724 	0898-0101 	Unknown	American Holistic Nurses' Association 	
Journal of Hospitality & Tourism Research	SAGE Publications  	http://jht.sagepub.com 	1557-7554 	1096-3480 	Unknown	International Council on Hotel, Restaurant, and Institutional Education 	
Journal of Human Lactation	SAGE Publications 	http://jhl.sagepub.com 	1552-5732 	0890-3344 	Unknown	International Lactation Consultant Association 	
Journal of Human Resources	University of Wisconsin Press 	http://jhr.uwpress.org 	1548-8004 	0022-166X 	Unknown	Unknown	
Journal of Human Rights Practice	Oxford University Press 	http://jhrp.oxfordjournals.org 	1757-9627 	1757-9619 	Unknown	Oxford University Press 	
Journal of Human Values	SAGE Publications 	http://jhv.sagepub.com 	0973-0737 	0971-6858 	Unknown	Unknown	
Journal of Humanistic Psychology	SAGE Publications 	http://jhp.sagepub.com 	1552-650X 	0022-1678 	Unknown	Association for Humanistic Psychology 	
The Journal of Immunology	The American Association of Immunologists, Inc.  	http://jimmunol.org 	1550-6606 	0022-1767 	Cell Biology Developmental Biology Evolution Genetics Immunology Infectious Diseases Oncology Rheumatology Virology 	The American Association of Immunologists, Inc. 	
Journal of Industrial Relations	SAGE Publications 	http://jir.sagepub.com 	1472-9296 	0022-1856 	Unknown	Industrial Relations Society of Australia  	
Journal of Industrial Textiles	SAGE Publications 	http://jit.sagepub.com 	1530-8057 	1528-0837 	Unknown	Unknown	
Journal of Infection Prevention	SAGE Publications 	http://bji.sagepub.com 	1757-1782 	1757-1774 	Unknown	Infection Control Nurses Association  	
Journal of Infectious Diseases	Oxford University Press 	http://jid.oxfordjournals.org 	1537-6613 	0022-1899 	Unknown	Infectious Diseases Society of America 	
Journal of Information Science	SAGE Publications 	http://jis.sagepub.com 	1741-6485 	0165-5515 	Unknown	Chartered Institute of Library and Information Professionals 	
Journal of Infrastructure Development	SAGE Publications 	http://joi.sagepub.com 	0975-5969 	0974-9306 	Unknown	Unknown	
Journal of Intellectual Disabilities	SAGE Publications 	http://jid.sagepub.com 	1744-6309 	1744-6295 	Unknown	Unknown	
Journal of Intellectual Property Law & Practice	Oxford University Press 	http://jiplp.oxfordjournals.org 	1747-1540 	1747-1532 	Unknown	Oxford University Press 	
Journal of Intelligent Material Systems and Structures	SAGE Publications 	http://jim.sagepub.com 	1530-8138 	1045-389X 	Unknown	Unknown	
Journal of Intensive Care Medicine	SAGE Publications 	http://jic.sagepub.com 	1525-1489 	0885-0666 	Unknown	Unknown	
Journal of International Criminal Justice	Oxford University Press 	http://jicj.oxfordjournals.org 	1478-1395 	1478-1387 	Unknown	Unknown	
Journal of International Dispute Settlement	Oxford University Press 	http://jids.oxfordjournals.org 	2040-3593 	2040-3585 	Unknown	Oxford University Press 	
Journal of International Economic Law	Oxford University Press 	http://jiel.oxfordjournals.org 	1464-3758 	1369-3034 	Unknown	Unknown	
Journal of Interpersonal Violence	SAGE Publications 	http://jiv.sagepub.com 	1552-6518 	0886-2605 	Unknown	Unknown	
Journal of Islamic Studies	Oxford University Press 	http://jis.oxfordjournals.org 	1471-6917 	0955-2340 	Unknown	Unknown	
Journal of Laboratory Automation	SAGE Publications 	http://jla.sagepub.com 	1540-2452 	2211-0682 	Unknown	Published in Association with Society for Laboratory Automation and Screening 	
Journal of Language and Social Psychology	SAGE Publications 	http://jls.sagepub.com 	1552-6526 	0261-927X 	Unknown	Unknown	
Journal of Law, Economics, and Organization	Oxford University Press 	http://jleo.oxfordjournals.org 	1465-7341 	8756-6222 	Economic Science Political Science 	Unknown	
Journal of Leadership & Organizational Studies	SAGE Publications 	http://jlo.sagepub.com 	1939-7089 	1548-0518 	Unknown	Midwest Academy of Management 	
Journal of Learning Disabilities	SAGE Publications 	http://ldx.sagepub.com 	Unknown	0022-2194 	Unknown	Hammill Institute on Disabilities and SAGE 	
Journal of Legal Analysis	Oxford University Press 	http://jla.oxfordjournals.org 	1946-5319 	2161-7201 	Unknown	Oxford University Press 	
Journal of Leukocyte Biology	Society for Leukocyte Biology 	http://www.jleukbio.org 	1938-3673 	0741-5400 	Cell Biology Hematology Immunology 	Society for Leukocyte Biology 	
Journal of Librarianship and Information Science	SAGE Publications 	http://lis.sagepub.com 	1741-6477 	0961-0006 	Unknown	Unknown	
The Journal of Lipid Research	American Society for Biochemistry and Molecular Biology 	http://www.jlr.org 	1539-7262 	0022-2275 	Accident and Emergency Medicine Agriculture Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Earth Sciences Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Renal and Urologic Medicine Respiratory Medicine Sexual Medicine Statistics Surgery Travel Medicine Virology Women's Health 	American Society for Biochemistry and Molecular Biology 	
Journal of Literacy Research	SAGE Publications 	http://jlr.sagepub.com 	1554-8430 	1086-296X 	Unknown	Literary Research Association 	
Journal of Logic and Computation	Oxford University Press 	http://logcom.oxfordjournals.org 	1465-363X 	0955-792X 	Unknown	Unknown	
Journal of Macromarketing	SAGE Publications 	http://jmk.sagepub.com 	1552-6534 	0276-1467 	Unknown	Unknown	
Journal of Management	SAGE Publications  	http://jom.sagepub.com 	1557-1211 	0149-2063 	Unknown	Southern Management Association 	
Journal of Management Education	SAGE Publications 	http://jme.sagepub.com 	1552-6658 	1052-5629 	Unknown	Organizational Behavior Teaching Society 	
Journal of Management Inquiry	SAGE Publications 	http://jmi.sagepub.com 	1552-6542 	1056-4926 	Unknown	Western Academy of Management 	
Journal of Marketing Education	SAGE Publications 	http://jmd.sagepub.com 	1552-6550 	0273-4753 	Unknown	Marketing Educators Association 	
Journal of Material Culture	SAGE Publications 	http://mcu.sagepub.com 	1460-3586 	1359-1835 	Unknown	Unknown	
Journal of Mechanical Engineering Science	SAGE Publications 	http://jms.sagepub.com 	Unknown	0022-2542 	Unknown	Institution of Mechanical Engineers 	
Journal of Medical Biography	Royal Society of Medicine Press 	http://jmb.rsmjournals.com 	Unknown	0967-7720 	Unknown	Royal Society of Medicine Press 	
Journal of Medical Ethics	BMJ Publishing Group 	http://jme.bmj.com 	1473-4257 	0306-6800 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Cardiovascular Medicine and Stroke Clinical Medicine Critical Care / Intensive Care Developmental Biology Endocrinology Genetics Genomics General Practice / Primary Care Geriatric Medicine Immunology Infectious Diseases Medicine Neuroscience Nutrition Oncology Palliative Medicine Pathology Pediatrics Physiology Psychiatry Psychology Rehabilitation Medicine Respiratory Medicine Sexual Medicine Sociology Sports and Exercise Medicine Surgery Virology Women's Health 	BMJ Group 	
Journal of Medical Genetics	BMJ Group 	http://jmg.bmj.com 	1468-6244 	0022-2593 	Genetics Genomics Medicine 	BMJ Publishing Group 	
Journal of Medical Marketing: Device, Diagnostic and Pharmaceutical Marketing	SAGE Publications 	http://mmj.sagepub.com 	1745-7912 	1745-7904 	Unknown	Unknown	
Journal of Medical Microbiology	Society for General Microbiology 	http://jmm.sgmjournals.org 	1473-5644 	0022-2615 	Medicine Microbiology 	Society for General Microbiology 	
Journal of Medical Screening	Royal Society of Medicine Press 	http://jms.rsmjournals.com 	1475-5793 	0969-1413 	Unknown	Medical Screening Society 	
Journal of Medicine and Philosophy	Oxford University Press 	http://jmp.oxfordjournals.org 	1744-5019 	0360-5310 	Unknown	Journal of Medicine and Philosophy Inc. 	
Journal of Medieval and Early Modern Studies	Duke University Press 	http://jmems.dukejournals.org 	1527-8263 	1082-9636 	Unknown	Unknown	
Journal of Micropalaeontology	Geological Society of London  	http://jm.lyellcollection.org 	2041-4978 	0262-821X 	Unknown	The Micropalaeontological Society  	
Journal of Mixed Methods Research	SAGE Publications 	http://mmr.sagepub.com 	1558-6901 	1558-6898 	Unknown	Unknown	
Journal of Molecular Cell Biology	Oxford University Press 	http://jmcb.oxfordjournals.org 	Unknown	1674-2788 	Unknown	Chinese Academy of Sciences 	
Journal of Molecular Endocrinology	BioScientifica 	http://jme.endocrinology-journals.org 	1479-6813 	0952-5041 	Unknown	Society for Endocrinology 	
Journal of Molluscan Studies	Oxford University Press 	http://mollus.oxfordjournals.org 	1464-3766 	0260-1230 	Developmental Biology Genetics 	The Malacological Society of London 	
Journal of Music Teacher Education	SAGE Publications 	http://jmt.sagepub.com 	1945-0079 	1057-0837 	Unknown	MENC: The National Association for Music Education  	
Journal of Music Theory	Duke University Press 	http://jmt.dukejournals.org 	Unknown	0022-2909 	Unknown	Yale Department of Music 	
Journal of NeuroInterventional Surgery	BMJ Publishing Group Ltd 	http://jnis.bmj.com 	1759-8486 	1759-8478 	Unknown	The Society of NeuroInterventional Surgery 	
Journal of Neurology, Neurosurgery & Psychiatry	BMJ Publishing Group Ltd 	http://jnnp.bmj.com 	1468-330X 	0022-3050 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics General Practice / Primary Care Geriatric Medicine Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	n/a 	
Journal of Neurophysiology	The American Physiological Society 	http://jn.physiology.org 	1522-1598 	0022-3077 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Immunology Infectious Diseases Mathematics Materials Science Medicine Microbiology Neuroscience Nutrition Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Respiratory Medicine Rheumatology Sexual Medicine Signal Transduction Sociology Sports and Exercise Medicine Statistics Surgery Women's Health 	The American Physiological Society 	
Journal of Neuroscience	Society for Neuroscience 	http://www.jneurosci.org 	1529-2401 	0270-6474 	Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Computer Science Developmental Biology Drugs Endocrinology Evolution Gastroenterology Genetics Genomics Imaging-Techniques Infectious Diseases Mathematics Medicine Molecular Medicine Neurology Neuroscience Pathology Pharmacology Physiology Psychiatry Psychology Rehabilitation Medicine Sexual Medicine Sociology Sports and Exercise Medicine Virology Women's Health 	Society for Neuroscience 	
Journal of Nuclear Medicine	Society of Nuclear Medicine  	http://jnm.snmjournals.org 	2159-662X 	0161-5505 	Cardiovascular Medicine and Stroke Clinical Medicine Medicine Oncology Radiology 	Society of Nuclear Medicine 	
Journal of Nuclear Medicine Technology	Society of Nuclear Medicine 	http://tech.snmjournals.org 	1535-5675 	0091-4916 	Cardiovascular Medicine and Stroke Clinical Medicine Medicine Oncology Radiology 	Society of Nuclear Medicine 	
The Journal of Nutrition	The American Society for Nutrition 	http://jn.nutrition.org 	1541-6100 	0022-3166 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dentistry and Oral Medicine Dermatology Developmental Biology Medicine in Developing Countries Earth Sciences Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Population Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	The American Society for Nutrition 	
Journal of Oncology Pharmacy Practice	SAGE Publications 	http://opp.sagepub.com 	1477-092X 	1078-1552 	Unknown	Unknown	
Journal of Oncology Practice	American Society of Clinical Oncology 	http://jop.ascopubs.org 	1935-469X 	1554-7477 	Unknown	American Society of Clinical Oncology 	
Journal of Orthodontics	Maney Publishing 	http://jorthod.maneyjournals.org 	1465-3133 	1465-3125 	Biochemistry Dentistry and Oral Medicine Medicine Physiology 	The British Orthodontic Society 	
Journal of Parenteral and Enteral Nutrition	SAGE Publications 	http://pen.sagepub.com 	1941-2444 	0148-6071 	Unknown	American Society for Parenteral and Enteral Nutrition 	
Journal of Peace Research	SAGE Publications 	http://jpr.sagepub.com 	1460-3578 	0022-3433 	Unknown	International Peace Research Institute, Oslo 	
Journal of Pediatric Oncology Nursing	SAGE Publications 	http://jpo.sagepub.com 	1532-8457 	1043-4542 	Unknown	Association of Pediatric Hematology/Oncology Nurses (APHON) 	
Journal of Pediatric Psychology	Oxford University Press 	http://jpepsy.oxfordjournals.org 	1465-735X 	0146-8693 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Developmental Biology Endocrinology Evidence Based Practice Genetics General Practice / Primary Care Immunology Infectious Diseases Medicine Neuroscience Nutrition Oncology Pathology Pediatrics Physiology Psychiatry Psychology Rehabilitation Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Virology 	Society of Pediatric Psychology 	
Journal of Petrology	Oxford University Press 	http://petrology.oxfordjournals.org 	1460-2415 	0022-3530 	Earth Sciences 	Unknown	
Journal of Pharmacology and Experimental Therapeutics	The American Society for Pharmacology and Experimental Therapeutics 	http://jpet.aspetjournals.org 	1521-0103 	0022-3565 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Earth Sciences Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	The American Society for Pharmacology and Experimental Therapeutics 	
Journal of Pharmacy Practice	SAGE Publications 	http://jpp.sagepub.com 	1531-1937 	0897-1900 	Unknown	Unknown	
The Journal of Physiology	Blackwell Publishing 	http://jp.physoc.org 	1469-7793 	0022-3751 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Economic Science Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Immunology Mathematics Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	The Physiological Society 	
Journal of Plankton Research	Oxford University Press 	http://plankt.oxfordjournals.org 	1464-3774 	0142-7873 	Ecology Plant Biology 	Unknown	
Journal of Planning Education and Research	SAGE Publications 	http://jpe.sagepub.com 	1552-6577 	0739-456X 	Unknown	Association of Collegiate Schools of Planning 	
Journal of Planning History	SAGE Publications 	http://jph.sagepub.com 	1552-6585 	1538-5132 	Unknown	Society for American City and Regional Planning History (SACRPH) 	
Journal of Planning Literature	SAGE Publications 	http://jpl.sagepub.com 	1552-6593 	0885-4122 	Unknown	Unknown	
Journal of Plant Ecology	Oxford University Press 	http://jpe.oxfordjournals.org 	1752-993X 	1752-9921 	Unknown	Institute of Botany, Chinese Academy of Sciences, Beijing, and the Botanical Society of China 	
Journal of Plastic Film and Sheeting	SAGE Publications 	http://jpf.sagepub.com 	1530-8014 	8756-0879 	Unknown	Unknown	
Journal of Positive Behavior Interventions	SAGE Publications 	http://pbi.sagepub.com 	1538-4772 	1098-3007 	Unknown	Hammill Institute on Disabilities, SAGE and the APBS 	
Journal of Primary Care & Community Health	SAGE Publications 	http://jpc.sagepub.com 	2150-1327 	2150-1319 	Unknown	Unknown	
Journal of Psychoeducational Assessment	SAGE Publications 	http://jpa.sagepub.com 	1557-5144 	0734-2829 	Unknown	SAGE Publications  	
Journal of Psychopharmacology	SAGE Publications 	http://jop.sagepub.com 	1461-7285 	0269-8811 	Unknown	SAGE 	
Journal of Public Administration Research and Theory	Oxford University Press 	http://jpart.oxfordjournals.org 	1477-9803 	1053-1858 	Economic Science 	Public Management Research Association 	
Journal of Public Health	Oxford University Press 	http://jpubhealth.oxfordjournals.org 	1741-3850 	1741-3842 	Medicine Non-clinical Medicine 	Unknown	
Journal of Radiation Research	Oxford University Press 	http://jrr.oxfordjournals.org 	1349-9157 	0449-3060 	Unknown	The Japan Radiation Research Society and Japanese Society for Therapeutic Radiology and Oncology 	
Journal of Refugee Studies	Oxford University Press 	http://jrs.oxfordjournals.org 	1471-6925 	0951-6328 	Unknown	Unknown	
Journal of Reinforced Plastics and Composites	SAGE Publications 	http://jrp.sagepub.com 	1530-7964 	0731-6844 	Unknown	Unknown	
Journal of Research in Crime and Delinquency	SAGE Publications 	http://jrc.sagepub.com 	1552-731X 	0022-4278 	Unknown	National Council on Crime and Delinquency 	
Journal of Research in International Education	SAGE Publications 	http://jri.sagepub.com 	1741-2943 	1475-2409 	Unknown	International Baccalaureate Organization 	
Journal of Research in Music Education	SAGE Publications 	http://jrm.sagepub.com 	1945-0095 	0022-4294 	Unknown	MENC: The National Association for Music Education  	
Journal of Research in Nursing	SAGE Publications 	http://jrn.sagepub.com 	1744-988X 	1744-9871 	Unknown	SAGE Publications 	
Journal of Research on Leadership Education	SAGE Publications  	http://jrl.sagepub.com 	Unknown	1942-7751 	Unknown	University Council for Educational Administration 	
The Journal of Rheumatology	The Journal of Rheumatology Publishing Company Limited. 	http://www.jrheum.org 	1499-2752 	0315-162X 	Unknown	The Journal of Rheumatology Publishing Company Limited. 	
Journal of Sandwich Structures and Materials	SAGE Publications 	http://jsm.sagepub.com 	1530-7972 	1099-6362 	Unknown	Unknown	
The Journal of School Nursing	SAGE Publications 	http://jsn.sagepub.com 	1546-8364 	1059-8405 	Unknown	National Association of School Nurses  	
Journal of Sedimentary Research	SEPM Society for Sedimentary Geology 	http://jsedres.sepmonline.org 	Unknown	1527-1404 	Unknown	SEPM (Society for Sedimentary Geology) 	
Journal of Semantics	Oxford University Press 	http://jos.oxfordjournals.org 	1477-4593 	0167-5133 	Unknown	Oxford University Press 	
Journal of Semitic Studies	Oxford University Press 	http://jss.oxfordjournals.org 	1477-8556 	0022-4480 	Unknown	University of Manchester 	
Journal of Service Research	SAGE Publications 	http://jsr.sagepub.com 	1552-7379 	1094-6705 	Unknown	Center for Excellence in Service 	
Journal of Social and Personal Relationships	SAGE Publications 	http://spr.sagepub.com 	1460-3608 	0265-4075 	Unknown	International Association for Relationship Research 	
Journal of Social Archaeology	SAGE Publications 	http://jsa.sagepub.com 	1741-2951 	1469-6053 	Unknown	Unknown	
Journal of Social History	Oxford University Press 	http://jsh.oxfordjournals.org 	1527-1897 	0022-4529 	Unknown	Oxford University Press 	
Journal of Social Work	SAGE Publications 	http://jsw.sagepub.com 	1741-296X 	1468-0173 	Unknown	Unknown	
Journal of Sociology	SAGE Publications 	http://jos.sagepub.com 	1741-2978 	1440-7833 	Unknown	The Australian Sociological Association 	
Journal of Soil and Water Conservation	Soil and Water Conservation Society 	http://www.jswconline.org 	1941-3300 	0022-4561 	Unknown	Soil and Water Conservation Society 	
Journal of South Asian Development	SAGE Publications UK 	http://sad.sagepub.com 	0973-1733 	0973-1741 	Unknown	Unknown	
The Journal of Special Education	SAGE Publications 	http://sed.sagepub.com 	1538-4764 	0022-4669 	Unknown	Hammill Institute, SAGE, and Division for Research-CEC  	
Journal of Speech, Language, and Hearing Research	American Speech-Language-Hearing Association 	http://jslhr.asha.org 	1558-9102 	1092-4388 	Unknown	American Speech-Language-Hearing Association 	
Journal of Sport & Social Issues	SAGE Publications 	http://jss.sagepub.com 	1552-7638 	0193-7235 	Unknown	Northeastern University's Center for the Study of Sport in Society 	
Journal of Sports Economics	SAGE Publications 	http://jse.sagepub.com 	1552-7794 	1527-0025 	Unknown	Unknown	
Journal of Studies in International Education	SAGE Publications 	http://jsi.sagepub.com 	1552-7808 	1028-3153 	Unknown	Association for Studies in International Education 	
Journal of Surgical Case Reports	Oxford University Press 	http://jscr.oxfordjournals.org 	2042-8812 	Unknown	Unknown	Oxford University Press 	
Journal of Teacher Education	SAGE Publications 	http://jte.sagepub.com 	1552-7816 	0022-4871 	Unknown	American Association of Colleges for Teacher Education (AACTE) 	
Journal of Telemedicine and Telecare	Royal Society of Medicine Press 	http://jtt.rsmjournals.com 	Unknown	1357-633X 	Unknown	Royal Society of Medicine Press 	
Journal of the Academy of Marketing Science	SAGE Publications 	http://jam.sagepub.com 	1552-7824 	0092-0703 	Unknown	Academy of Marketing Science 	
Journal of the American Academy of Orthopaedic Surgeons	American Academy of Orthopaedic Surgeons 	http://www.jaaos.org 	Unknown	1067-151X 	Unknown	American Academy of Orthopaedic Surgeons 	
Journal of the American Academy of Psychiatry and the Law Online	American Academy of Psychiatry and The Law 	http://www.jaapl.org 	Unknown	1093-6793 	Unknown	American Academy of Psychiatry and the Law 	
Journal of the American Academy of Religion	Oxford University Press 	http://jaar.oxfordjournals.org 	1477-4585 	0002-7189 	Unknown	Unknown	
Journal of the American Animal Hospital Association	American Animal Hospital Association 	http://www.jaaha.org 	1547-3317 	0587-2871 	Unknown	American Animal Hospital Association 	
The Journal of the American Board of Family Medicine	The American Board of Family Medicine 	http://www.jabfm.org 	1558-7118 	1557-2625 	Clinical Medicine General Practice / Primary Care Medicine 	The American Board of Family Medicine 	
Journal of the American College of Nutrition	The American College of Nutrition 	http://www.jacn.org 	1541-1087 	0731-5724 	Biochemistry Medicine Nutrition Physiology 	The American College of Nutrition 	
The Journal of the American Dental Association	American Dental Association 	http://jada.ada.org 	Unknown	0002-8177 	Unknown	American Dental Association 	
JAHA: Journal of the American Heart Association	Wiley-Blackwell 	http://jaha.ahajournals.org 	2047-9980 	Unknown	Unknown	American Heart Association/American Stroke Association  	
Journal of the American Medical Informatics Association	BMJ Publishing Group Ltd 	http://jamia.bmj.com 	1527-974X 	1067-5027 	Unknown	n/a 	
Journal of the American Podiatric Medical Association	American Podiatric Medical Association 	http://www.japmaonline.org 	Unknown	8750-7315 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Clinical Medicine Dermatology Developmental Biology Endocrinology Evidence Based Practice Genetics Geriatric Medicine Immunology Infectious Diseases Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physiology Psychology Radiology Rehabilitation Medicine Respiratory Medicine Rheumatology Sociology Sports and Exercise Medicine Surgery Virology Women's Health 	American Podiatric Medical Association 	
