pIssn	eIssn	title	urls	subject	isStm	society	emptyField
0021-9886	1468-5965	JCMS: JOURNAL OF COMMON MARKET STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5965	Humanities and Social Sciences		University Association for Contemporary European Studies	 
1610-0379	1610-0387	JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1610-0387	Medical, Veterinary and Health Sciences	STM Collection	Deutsche Dermatologische Gesellschaft	 
1754-0194	1754-0208	JOURNAL FOR EIGHTEENTH-CENTURY STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1754-0208	Humanities and Social Sciences		British Society for Eighteenth-Century Studies	 
1062-2551	1945-1474	JOURNAL FOR HEALTHCARE QUALITY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1945-1474	Medical, Veterinary and Health Sciences	STM Collection	National Association of Healthcare Quality	 
1539-0136	1744-6155	JOURNAL FOR SPECIALISTS IN PEDIATRIC NURSING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6155	Medical, Veterinary and Health Sciences	STM Collection		 
0021-8294	1468-5906	JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5906	Humanities and Social Sciences		Society for the Scientific Study of Religion	 
0021-8308	1468-5914	JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5914	Psychology			 
0021-8456	1475-679X	JOURNAL OF ACCOUNTING RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-679X	Business, Economics, Finance and Accounting		Institute of Professional Accounting	 
1081-3004	1936-2706	JOURNAL OF ADOLESCENT & ADULT LITERACY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1936-2706	Humanities and Social Sciences		International Reading Association (IRA)	 
0309-2402	1365-2648	JOURNAL OF ADVANCED NURSING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2648	Medical, Veterinary and Health Sciences	STM Collection		 
0197-6729	2042-3195	JOURNAL OF ADVANCED TRANSPORTATION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2042-3195	Engineering			 
0021-8529	1540-6245	JOURNAL OF AESTHETICS AND ART CRITICISM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6245	Humanities and Social Sciences		American Society for Aesthetics	 
1471-0358	1471-0366	JOURNAL OF AGRARIAN CHANGE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-0366	Humanities and Social Sciences			 
0021-857X	1477-9552	JOURNAL OF AGRICULTURAL ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1477-9552	Business, Economics, Finance and Accounting    		Agricultural Economics Society	 
0931-2250	1439-037X	JOURNAL OF AGRONOMY AND CROP SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-037X	Earth and Environmental Science	STM Collection		 
0002-8614	1532-5415	JOURNAL OF AMERICAN GERIATRICS SOCIETY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1532-5415	Medical, Veterinary and Health Sciences	STM Collection	American Geriatrics Society	 
0021-8782	1469-7580	JOURNAL OF ANATOMY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-7580	Life Sciences	STM Collection	Anatomical Society of Great Britain and Ireland	 
0931-2668	1439-0388	JOURNAL OF ANIMAL BREEDING AND GENETICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0388	Medical, Veterinary and Health Sciences	STM Collection		 
0021-8790	1365-2656	JOURNAL OF ANIMAL ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2656	Life Sciences	STM Collection	British Ecological Society	 
0931-2439	1439-0396	JOURNAL OF ANIMAL PHYSIOLOGY AND NUTRITION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0396	Life Sciences	STM Collection		 
1071-2089	1751-9861	JOURNAL OF APPLIED BIOBEHAVIORAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-9861	Psychology	STM Collection		 
1078-1196	1745-6622	JOURNAL OF APPLIED CORPORATE FINANCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-6622	Business, Economics, Finance and Accounting		Morgan Stanley (Morgan)	 
0021-8898	1600-5767	JOURNAL OF APPLIED CRYSTALLOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5767	Chemistry   	STM Collection	International Union of Crystallography	 
0021-8901	1365-2664	JOURNAL OF APPLIED ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2664	Life Sciences	STM Collection	British Ecological Society	 
0883-7252	1099-1255	JOURNAL OF APPLIED ECONOMETRICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1255	Business, Economics, Finance and Accounting    			 
0931-2048	1439-0418	JOURNAL OF APPLIED ENTOMOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0418	Life Sciences	STM Collection		 
0175-8659	1439-0426	JOURNAL OF APPLIED ICHTHYOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0426	Earth and Environmental Science	STM Collection	World Sturgeon Conservation Society	 
1364-5072	1365-2672	JOURNAL OF APPLIED MICROBIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2672	Life Sciences	STM Collection	Society for Applied Microbiology	 
0264-3758	1468-5930	JOURNAL OF APPLIED PHILOSOPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5930	Humanities and Social Sciences		Society for Applied Philosophy	 
0021-8995	1097-4628	JOURNAL OF APPLIED POLYMER SCIENCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4628	Polymers and Materials Science	STM Collection		 
1360-2322	1468-3148	JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-3148	Medical, Veterinary and Health Sciences		British Institute of Learning Disabilities	 
0021-9029	1559-1816	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1559-1816	Psychology	STM Collection		 
0260-437X	1099-1263	JOURNAL OF APPLIED TOXICOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1263	Chemistry   	STM Collection		 
1046-4883	1531-314X	JOURNAL OF ARCHITECTURAL EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1531-314X	Engineering 		Association of Collegiate Schools of Architecture	 
0908-8857	1600-048X	JOURNAL OF AVIAN BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-048X	Life Sciences	STM Collection	Nordic Society Oikos	 
0233-111X	1521-4028	JOURNAL OF BASIC MICROBIOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4028	Life Sciences	STM Collection		 
0894-3257	1099-0771	JOURNAL OF BEHAVIORAL DECISION MAKING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0771	Business, Economics, Finance and Accounting    			 
1095-6670	1099-0461	JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0461	Chemistry   	STM Collection		 
0305-0270	1365-2699	JOURNAL OF BIOGEOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2699	Humanities and Social Sciences	STM Collection		 
1549-3296	1552-4965	JOURNAL OF BIOMEDICAL MATERIALS RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4981	Polymers and Materials Science	STM Collection		 
1864-063X	1864-0648	JOURNAL OF BIOPHOTONICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1864-0648	Medical, Veterinary and Health Sciences			 
0884-0431	1523-4681	JOURNAL OF BONE AND MINERAL RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1523-4681	Medical, Veterinary and Health Sciences		American Society for Bone and Mineral Research (ASBMR)	 
0306-686X	1468-5957	JOURNAL OF BUSINESS FINANCE & ACCOUNTING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5957	Business, Economics, Finance and Accounting    			 
0735-3766	2158-1592	JOURNAL OF BUSINESS LOGISTICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2158-1592	Business, Economics, Finance and Accounting		Council of Supply Chain Management Professionals	 
0886-0440	1540-8191	JOURNAL OF CARDIAC SURGERY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-8191	Medical, Veterinary and Health Sciences	STM Collection	Association of Cardiovascular Thoracic Surgeons of Quebec	 
1045-3873	1540-8167	JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-8167	Medical, Veterinary and Health Sciences	STM Collection		 
1582-1838	1582-4934	JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1582-4934	Medical, Veterinary and Health Sciences			 
0730-2312	1097-4644	JOURNAL OF CELLULAR BIOCHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4644	Life Sciences	STM Collection		 
0021-9541	1097-4652	JOURNAL OF CELLULAR PHYSIOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4652	Life Sciences	STM Collection		 
0268-2575	1097-4660	JOURNAL OF CHEMICAL TECHNOLOGY & BIOTECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4660	Chemistry   	STM Collection	Society of Chemical Industry (SCI)	 
0886-9383	1099-128X	JOURNAL OF CHEMOMETRICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-128X	Chemistry   	STM Collection		 
1073-6077	1744-6171	JOURNAL OF CHILD AND ADOLESCENT PSYCHIATRIC NURSING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6171	Medical, Veterinary and Health Sciences	STM Collection	Association of Child and Adolescent Psychiatric Nurses	 
0301-8121	1540-6253	JOURNAL OF CHINESE PHILOSOPHY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6253	Humanities and Social Sciences		International Society for Chinese Philosophy	 
0733-2459	1098-1101	JOURNAL OF CLINICAL APHERESIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1101	Medical, Veterinary and Health Sciences	STM Collection		 
1524-6175	1751-7176	JOURNAL OF CLINICAL HYPERTENSION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-7176	Medical, Veterinary and Health Sciences		American Society of Hypertension, Inc	 
0887-8013	1098-2825	JOURNAL OF CLINICAL LABORATORY ANALYSIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2825	Medical, Veterinary and Health Sciences	STM Collection		 
0962-1067	1365-2702	JOURNAL OF CLINICAL NURSING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2702	Medical, Veterinary and Health Sciences	STM Collection		 
0303-6979	1600-051X	JOURNAL OF CLINICAL PERIODONTOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-051X	Medical, Veterinary and Health Sciences	STM Collection	European Federation of Periodontology	 
0269-4727	1365-2710	JOURNAL OF CLINICAL PHARMACY & THERAPEUTICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2710	Medical, Veterinary and Health Sciences	STM Collection		 
0021-9762	1097-4679	JOURNAL OF CLINICAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-4679	Psychology			 
0091-2751	1097-0096	JOURNAL OF CLINICAL ULTRASOUND	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0096	Medical, Veterinary and Health Sciences	STM Collection		 
1099-0399	2161-1882	JOURNAL OF COLLEGE COUNSELING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-1882	Humanities and Social Sciences		American Counseling Association (ACA)	 
1063-8539	1520-6610	JOURNAL OF COMBINATORIAL DESIGNS	http://www.onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6610	Mathematics and Statistics	STM Collection		 
0021-9916	1460-2466	JOURNAL OF COMMUNICATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1460-2466	Humanities and Social Sciences		International Communication Association	 
1052-9284	1099-1298	JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1298	Psychology			 
0090-4392	1520-6629	JOURNAL OF COMMUNITY PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6629	Psychology			 
0192-8651	1096-987X	JOURNAL OF COMPUTATIONAL CHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-987X	Chemistry   	STM Collection		 
0266-4909	1365-2729	JOURNAL OF COMPUTER ASSISTED LEARNING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2729	Education			 
E-only title	1083-6101	JOURNAL OF COMPUTER-MEDIATED COMMUNICATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1083-6101	Humanities and Social Sciences		International Communication Association	 
0022-0078	1745-6606	JOURNAL OF CONSUMER AFFAIRS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-6606	Business, Economics, Finance and Accounting    		American Council on Consumer Interests	 
1472-0817	1479-1838	JOURNAL OF CONSUMER BEHAVIOUR	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1479-1838	Business, Economics, Finance and Accounting    			 
1936-7031	1936-704X	JOURNAL OF CONTEMPORARY WATER RESOURCE & EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1936-704X	Engineering	STM Collection	Universities Council on Water Resources (UCWR)	 
0966-0879	1468-5973	JOURNAL OF CONTINGENCIES AND CRISIS MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-5973	Business, Economics, Finance and Accounting    			 
1044-8136	1097-0053	JOURNAL OF CORPORATE ACCOUNTING & FINANCE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0053	Business, Economics, Finance and Accounting    			 
1473-2130	1473-2165	JOURNAL OF COSMETIC DERMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1473-2165	Medical, Veterinary and Health Sciences	STM Collection	European Society for Cosmetic and Aesthetic Dermatology	 
0748-9633	1556-6678	JOURNAL OF COUNSELING & DEVELOPMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-6678	Humanities and Social Sciences		American Counseling Association (ACA)	 
0303-6987	1600-0560	JOURNAL OF CUTANEOUS PATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0560	Medical, Veterinary and Health Sciences	STM Collection	American Society of Dermatopathology	 
1753-0393	1753-0407	JOURNAL OF DIABETES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-0407	Medical, Veterinary and Health Sciences		Chinese Endocrinologist Association	 
2040-1116	2040-1124	JOURNAL OF DIABETES INVESTIGATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2040-1124	Medical, Veterinary and Health Sciences		Asian Association for the Study of Diabetes (AASD)	 
1751-2972	1751-2980	JOURNAL OF DIGESTIVE DISEASES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-2980	Medical, Veterinary and Health Sciences	STM Collection	Chinese Society of Gastroenterology	 
0022-0477	1365-2745	JOURNAL OF ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2745	Life Sciences	STM Collection	British Ecological Society	 
0950-0804	1467-6419	JOURNAL OF ECONOMIC SURVEYS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6419	Business, Economics, Finance and Accounting    			 
1058-6407	1530-9134	JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-9134	Business, Economics, Finance and Accounting    			 
0022-0655	1745-3984	JOURNAL OF EDUCATIONAL MEASUREMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-3984	Education		National Council on Measurement in Education	 
1740-1453	1740-1461	JOURNAL OF EMPIRICAL LEGAL STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1740-1461	Law and Criminology		Society for Empirical Legal Studies	 
0022-0787	2161-1920	JOURNAL OF EMPLOYMENT COUNSELING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-1920	Humanities and Social Sciences		American Counseling Association (ACA)	 
1496-4155	1708-8240	JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1708-8240	Medical, Veterinary and Health Sciences	STM Collection	American Academy of Esthetic Dentistry	 
1356-1294	1365-2753	JOURNAL OF EVALUATION IN CLINICAL PRACTICE (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2753	Medical, Veterinary and Health Sciences	STM Collection		 
1756-5383	1756-5391	JOURNAL OF EVIDENCE BASED MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1756-5391	Medical, Veterinary and Health Sciences		Chinese Cochrane Center, West China Hospital of Sichuan University	 
1010-061X	1420-9101	JOURNAL OF EVOLUTIONARY BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1420-9101	Life Sciences	STM Collection	European Society for Evolutionary Biology	 
1756-2570	1756-2589	JOURNAL OF FAMILY THEORY & REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1756-2589	Medical, Veterinary and Health Sciences		National Council for Family Relations	 
0163-4445	1467-6427	JOURNAL OF FAMILY THERAPY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6427	Humanities and Social Sciences		Association for Family Therapy and Systemic Practice in the UK	 
0273-8570	1557-9263	JOURNAL OF FIELD ORNITHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1557-9263	Life Sciences	STM Collection	Association of Field Ornithologists	 
1556-4959	1556-4967	JOURNAL OF FIELD ROBOTICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-4967	Engineering 	STM Collection		 
0022-1112	1095-8649	JOURNAL OF FISH BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1095-8649	Earth and Environmental Science	STM Collection	Fisheries Society of the British Isles	 
0140-7775	1365-2761	JOURNAL OF FISH DISEASES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2761	Earth and Environmental Science	STM Collection		 
E-only title	1753-318X	JOURNAL OF FLOOD RISK MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-318X	Life Sciences		Chartered Institution of Water and Environmental Management	 
0145-8884	1745-4514	JOURNAL OF FOOD BIOCHEMISTRY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4514	Chemistry   	STM Collection		 
0145-8876	1745-4530	JOURNAL OF FOOD PROCESS ENGINEERING (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4530	Chemistry   	STM Collection		 
0145-8892	1745-4549	JOURNAL OF FOOD PROCESSING AND PRESERVATION (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4549	Chemistry   	STM Collection		 
0146-9428	1745-4557	JOURNAL OF FOOD QUALITY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4557	Chemistry   	STM Collection		 
0149-6085	1745-4565	JOURNAL OF FOOD SAFETY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1745-4565	Chemistry   	STM Collection		 
0022-1147	1750-3841	JOURNAL OF FOOD SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1750-3841	Chemistry   	STM Collection	Institute of Food Technologists	 
E-only title	1541-4329	JOURNAL OF FOOD SCIENCE EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-4329	Humanities and Social Sciences	STM Collection	Institute of Food Technologists	 
0277-6693	1099-131X	JOURNAL OF FORECASTING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-131X	Business, Economics, Finance and Accounting    			 
1556-3693	1939-3938	JOURNAL OF FORENSIC NURSING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-3938	Medical, Veterinary and Health Sciences	STM Collection	International Association for Forensic Nurses	 
0022-1198	1556-4029	JOURNAL OF FORENSIC SCIENCES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-4029	Chemistry   	STM Collection	American Academy of Forensic Sciences	 
0815-9319	1440-1746	JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1746	Medical, Veterinary and Health Sciences	STM Collection	Journal of Gastroenterology and Hepatology Foundation	 
0364-9024	1097-0118	JOURNAL OF GRAPH THEORY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0118	Mathematics and Statistics	STM Collection		 
1074-4797	2040-0861	JOURNAL OF HEALTHCARE RISK MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2040-0861	Medical, Veterinary and Health Sciences		American Society for Healthcare Risk Management	 
0022-152X	1943-5193	JOURNAL OF HETEROCYCLIC CHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1943-5193	Chemistry			 
0952-1909	1467-6443	JOURNAL OF HISTORICAL SOCIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6443	Humanities and Social Sciences			 
1553-5592	1553-5606	JOURNAL OF HOSPITAL MEDICINE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1553-5606	Medical, Veterinary and Health Sciences		Society of Hospital Medicine	 
0952-3871	1365-277X	JOURNAL OF HUMAN NUTRITION & DIETETICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-277X	Medical, Veterinary and Health Sciences	STM Collection	British Dietetic Association	 
2159-0311	2161-1939	JOURNAL OF HUMANISTIC COUNSELING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-1939	Humanities and Social Sciences		American Counseling Association (ACA)	 
1088-1980	1530-9290	JOURNAL OF INDUSTRIAL ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-9290	Earth and Environmental Science	STM Collection	Yale University on behalf of the School of Forestry and Environmental Studies.	 
1672-9072	1744-7909	JOURNAL OF INTEGRATIVE PLANT BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7909	Life Sciences	STM Collection	Chinese Academy of Sciences, Institute of Botany	 
0964-2633	1365-2788	JOURNAL OF INTELLECTUAL DISABILITY RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2788	Medical, Veterinary and Health Sciences		International Association of the Scientific Study of Intellectual Disibilities	 
1071-7641	1939-1668	JOURNAL OF INTERIOR DESIGN	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-1668	Engineering 		Interior Design Educators Council	 
0954-6820	1365-2796	JOURNAL OF INTERNAL MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2796	Medical, Veterinary and Health Sciences	STM Collection	Association for Publication of The Journal of Internal Medicine	 
0954-1748	1099-1328	JOURNAL OF INTERNATIONAL DEVELOPMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1328	Humanities and Social Sciences			 
0954-1314	1467-646X	JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-646X	Business, Economics, Finance and Accounting    			 
0896-4327	1540-8183	JOURNAL OF INTERVENTIONAL CARDIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-8183	Medical, Veterinary and Health Sciences	STM Collection		 
2041-1618	2041-1626	JOURNAL OF INVESTIGATIVE AND CLINICAL DENTISTRY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2041-1626	Medical, Veterinary and Health Sciences			 
1544-4759	1544-4767	JOURNAL OF INVESTIGATIVE PSYCHOLOGY AND OFFENDER  PROFILING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1544-4767	Psychology			 
0362-4803	1099-1344	JOURNAL OF LABELLED COMPOUNDS AND  RADIOPHARMACEUTICALS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1344	Chemistry   	STM Collection		 
1935-4932	1935-4940	JOURNAL OF LATIN AMERICAN & CARIBBEAN ANTHROPOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1935-4940	Humanities and Social Sciences		American Anthropological Association	 
0263-323X	1467-6478	JOURNAL OF LAW AND SOCIETY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6478	Law and Criminology		Cardiff University (CU)	 
1935-2611	1935-262X	JOURNAL OF LEADERSHIP STUDIES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1935-262X	Business, Economics, Finance and Accounting    			 
0896-5811	1744-1722	JOURNAL OF LEGAL STUDIES EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-1722	Education		Academy of Legal Studies in Business	 
1055-1360	1548-1395	JOURNAL OF LINGUISTIC ANTHROPOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1395	Humanities and Social Sciences		American Anthropological Association	 
1053-1807	1522-2586	JOURNAL OF MAGNETIC RESONANCE IMAGING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2586	Medical, Veterinary and Health Sciences	STM Collection	International Society for Magnetic Resonance in Medicine	 
0022-2380	1467-6486	JOURNAL OF MANAGEMENT STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6486	Business, Economics, Finance and Accounting    		Society for the Advancement of Managment Studies	 
0194-472X	1752-0606	JOURNAL OF MARITAL AND FAMILY THERAPY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-0606	Humanities and Social Sciences		American Association for Marriage and Family Therapy	 
0022-2445	1741-3737	JOURNAL OF MARRIAGE AND FAMILY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-3737	Humanities and Social Sciences		National Council on Family Relations	 
1076-5174	1096-9888	JOURNAL OF MASS SPECTROMETRY  (INCORP BIOLOGICAL  MASS SPECTROMETRY)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9888c	Chemistry   	STM Collection		 
1754-9477	1754-9485	JOURNAL OF MEDICAL IMAGING AND RADIATION ONCOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1754-9485	Medical, Veterinary and Health Sciences	STM Collection	Royal Australian and New Zealand College of Radiologists	 
0047-2565	1600-0684	JOURNAL OF MEDICAL PRIMATOLOGY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0684	Medical, Veterinary and Health Sciences	STM Collection		 
0146-6615	1096-9071	JOURNAL OF MEDICAL VIROLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-9071	Life Sciences	STM Collection		 
0263-4929	1525-1314	JOURNAL OF METAMORPHIC GEOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1525-1314	Earth and Environmental Science	STM Collection		 
