PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA444206	Food Hypersensitivity	"Allergies, Food","Allergy, Food","Food Allergies","Food Allergy","Food Hypersensitivities","Food allergy","Hypersensitivities, Food","Hypersensitivity, Food",		MeSH:D005512(Food Hypersensitivity),MedDRA:10016946(Food allergy),NDFRT:N0000001270(Food Hypersensitivity [Disease/Finding]),SnoMedCT:414285001(Food allergy),UMLS:C0016470(C0016470)
PA444208	Foot Deformities	"Cavus Deformities","Cavus Deformity","Deformities, Cavus","Deformities, Foot","Deformities, Metatarsal","Deformity of foot","Deformity, Cavus","Deformity, Foot","Deformity, Metatarsal","Foot Deformity","Metatarsal Deformities","Metatarsal Deformity","Pes Cavus","Talipes Cavus",		MeSH:D005530(Foot Deformities),MedDRA:10061159(Foot deformity),NDFRT:N0000001272(Foot Deformities [Disease/Finding]),SnoMedCT:229844004(Deformity of foot),UMLS:C0016506(C0016506)
PA444214	Hand, Foot and Mouth Disease	"Disease, Foot-and-Mouth","Diseases, Foot-and-Mouth","Foot and Mouth Disease","Foot-and-Mouth Disease","Foot-and-Mouth Diseases","Vesicular stomatitis with xanthem",		MeSH:D006232(Hand, Foot and Mouth Disease),MedDRA:10019124(Hand, foot and mouth disease),NDFRT:N0000001413(Hand, Foot and Mouth Disease [Disease/Finding]),SnoMedCT:266108008(Hand foot and mouth disease),UMLS:C0018572(C0018572)
PA444220	Fowlpox	"Bird Pox","Birdpox","Diphtheria, Fowl","Diphtherias, Fowl","Epithelioma Contagiosum","Fowl Diphtheria","Fowl Diphtherias","Fowl Pox","Pox, Bird","Pox, Fowl","Variola Avium",		MeSH:D005586(Fowlpox),NDFRT:N0000001283(Fowlpox [Disease/Finding]),SnoMedCT:85831005(Fowlpox),UMLS:C0016629(C0016629)
PA444222	Fractures, Bone	"Broken bone","Compression fracture","Fracture","Fracture NOS","Fracture of bones NOS","Fracture of unspecified bones","Fracture, NOS","Fractures","Fractures, Compression",		MeSH:D050723(Fractures, Bone),MedDRA:10006381(Broken bones),NDFRT:N0000171696(Fractures, Bone [Disease/Finding]),SnoMedCT:125605004(Fracture of bone),SnoMedCT:208744007(Fracture of bones NOS),SnoMedCT:217171007(Fracture, cause unspecified),SnoMedCT:269102008(Fracture of unspecified bones),SnoMedCT:269323009(Fracture NOS),SnoMedCT:72704001(Fracture),UMLS:C0016658(C0016658)
PA444225	Fractures, Spontaneous	"Fracture, Pathologic","Fracture, Pathological","Fracture, Spontaneous","Fractures, Pathologic","Fractures, Pathological","Pathologic Fracture","Pathologic Fractures","Pathologic fracture","Pathological Fracture","Pathological Fractures","Pathological fracture","Spontaneous Fracture","Spontaneous Fractures","Spontaneous fracture",		MeSH:D005598(Fractures, Spontaneous),MedDRA:10005965(Bone fracture spontaneous),NDFRT:N0000001288(Fractures, Spontaneous [Disease/Finding]),SnoMedCT:203464003(Pathological fracture NOS),SnoMedCT:22640007(Pathologic fracture),SnoMedCT:268029009(Pathological fracture),UMLS:C0016663(C0016663)
PA444227	Fragile X Syndrome	"FRAXA Syndrome","FRAXA Syndromes","FRAXE Syndrome","FRAXE Syndromes","Fragile X Syndromes","Marker X syndrome","Martin Bell Syndrome","Martin-Bell Syndrome","Martin-Bell syndrome","Syndrome, FRAXA","Syndrome, FRAXE","Syndrome, Fragile X","Syndrome, Martin-Bell","Syndromes, FRAXA","Syndromes, FRAXE","Syndromes, Fragile X",		MeSH:D005600(Fragile X Syndrome),MedDRA:10017324(Fragile X syndrome),NDFRT:N0000001290(Fragile X Syndrome [Disease/Finding]),SnoMedCT:613003(Fragile X syndrome),UMLS:C0016667(C0016667)
PA444229	Friedreich Ataxia	"Ataxia, Freidreich's","Ataxia, Friedreich","Ataxia, Friedreich Familial","Ataxia, Friedreich Hereditary","Ataxia, Friedreich Spinocerebellar","Ataxia, Friedreich's","Ataxia, Friedreich's Familial","Ataxia, Friedreich's Hereditary","Ataxias, Friedreich","Ataxias, Friedreich's Hereditary","Disease, Friedreich","Disease, Friedreich's","FA - Friedreich ataxia","Familial Ataxia, Friedreich","Familial Ataxia, Friedreich's","Familial ataxia","Freidreich's Ataxia","Friedreich Ataxias","Friedreich Disease","Friedreich Familial Ataxia","Friedreich Hereditary Ataxia","Friedreich Hereditary Spinal Ataxia","Friedreich Spinocerebellar Ataxia","Friedreich's Ataxia","Friedreich's Disease","Friedreich's Familial Ataxia","Friedreich's Hereditary Ataxia","Friedreich's Hereditary Ataxias","Friedreich's Hereditary Spinal Ataxia","Friedreich's ataxia","Friedreich's disease","Friedreichs Familial Ataxia","Hereditary Ataxia, Friedreich","Hereditary Ataxia, Friedreich's","Hereditary Ataxias, Friedreich's","Hereditary Spinal Ataxia, Friedreich","Hereditary Spinal Ataxia, Friedreich's","Hereditary Spinal Scleroses","Hereditary Spinal Sclerosis","Hereditary ataxia","Scleroses, Hereditary Spinal","Sclerosis, Hereditary Spinal","Spinal Scleroses, Hereditary","Spinal Sclerosis, Hereditary","Spinocerebellar Ataxia, Friedreich",		MeSH:D005621(Friedreich Ataxia),MedDRA:10017374(Friedreich's ataxia),NDFRT:N0000001292(Friedreich Ataxia [Disease/Finding]),SnoMedCT:10394003(Friedreich's ataxia),UMLS:C0016719(C0016719)
PA444231	Fructose Intolerance	"ALDB - aldolose B deficiency","ALDB deficiency","Aldolase B deficiency","Fructosaemia","Fructose Intolerances","Fructose intolerance","Fructose-1,6-bisphosphate aldolase B deficiency","Fructose-biphosphate aldolase B deficiency","Hereditary fructose intolerance","Hereditary fructosuria","Intolerance, Fructose","Intolerances, Fructose",		MeSH:D005633(Fructose Intolerance),MedDRA:10017397(Fructose intolerance hereditary),NDFRT:N0000001294(Fructose Intolerance [Disease/Finding]),SnoMedCT:20052008(Hereditary fructosuria),UMLS:C0016751(C0016751)
PA444233	Fucosidosis	"Deficiency Disease, Fucosidase","Deficiency Disease, alpha Fucosidase","Deficiency Disease, alpha L Fucosidase","Deficiency Disease, alpha-Fucosidase","Deficiency Disease, alpha-L-Fucosidase","Deficiency Diseases, Fucosidase","Deficiency Diseases, alpha-Fucosidase","Deficiency Diseases, alpha-L-Fucosidase","Disease, Fucosidase Deficiency","Disease, alpha-Fucosidase Deficiency","Disease, alpha-L-Fucosidase Deficiency","Diseases, Fucosidase Deficiency","Diseases, alpha-Fucosidase Deficiency","Diseases, alpha-L-Fucosidase Deficiency","Fucosidase Deficiency Disease","Fucosidase Deficiency Diseases","Fucosidosis Type I","Fucosidosis Type II","Fucosidosis, Infantile","Fucosidosis, Juvenile","Fucosidosis, NOS","Infantile Fucosidosis","Juvenile Fucosidosis","alpha Fucosidase Deficiency Disease","alpha L Fucosidase Deficiency Disease","alpha-Fucosidase Deficiency Disease","alpha-Fucosidase Deficiency Diseases","alpha-L-Fucosidase Deficiency Disease","alpha-L-Fucosidase Deficiency Diseases","alpha-L-fucosidase deficiency",		MeSH:D005645(Fucosidosis),NDFRT:N0000001296(Fucosidosis [Disease/Finding]),SnoMedCT:64716005(Fucosidosis),UMLS:C0016788(C0016788)
PA444234	Funnel Chest	"Chest, Funnel","Chests, Funnel","Congenital funnel chest","Congenital pectus excavatum","Excavatum, Pectus","Funnel Chests","Funnel chest","Pectus Excavatum","Pectus excavatum","Pectus recurvatum","Trichterbrust",		MeSH:D005660(Funnel Chest),MedDRA:10009809(Cobbler's chest),NDFRT:N0000001297(Funnel Chest [Disease/Finding]),SnoMedCT:391982004(Congenital pectus excavatum),SnoMedCT:391987005(Pectus excavatum),UMLS:C0016842(C0016842)
PA444235	Furunculosis	"Boils","Furuncle","Furuncles","Furunculoses",		MeSH:D005667(Furunculosis),MedDRA:10017064(Forunculosis),NDFRT:N0000001298(Furunculosis [Disease/Finding]),SnoMedCT:112650006(Furunculosis),SnoMedCT:40603000(Furunculosis of skin AND/OR subcutaneous tissue),UMLS:C0016867(C0016867)
PA444239	Galactorrhea	"Galactorrhea due to non-obstetric cause","Galactorrheas","Galactorrhoea due to non-obstetric cause","Milk from non-pregnant breast",		MeSH:D005687(Galactorrhea),MedDRA:10017592(Galactorrhea),NDFRT:N0000001302(Galactorrhea [Disease/Finding]),SnoMedCT:198115002(Galactorrhoea due to non-obstetric cause),SnoMedCT:78622004(Galactorrhea not associated with childbirth),UMLS:C0235660(C0235660)
PA444240	Galactosemias	"Classic Galactosemia","Classic Galactosemias","Deficiency Disease, Galactokinase","Deficiency Disease, Galactose 1 Phosphate Uridyl Transferase","Deficiency Disease, Galactose-1-Phosphate Uridyl-Transferase","Deficiency Disease, UDP Galactose 4 Epimerase","Deficiency Disease, UDP-Galactose-4-Epimerase","Deficiency Disease, UDPglucose 4 Epimerase","Deficiency Disease, UDPglucose 4-Epimerase","Deficiency Diseases, UDP-Galactose-4-Epimerase","Disease, UDP-Galactose-4-Epimerase Deficiency","Diseases, UDP-Galactose-4-Epimerase Deficiency","Galactokinase Deficiency Disease","Galactokinase Deficiency Diseases","Galactosaemia","Galactosaemia NOS","Galactose 1 Phosphate Uridyl Transferase Deficiency Disease","Galactose-1-Phosphate Uridyl-Transferase Deficiency Disease","Galactosemia","Galactosemia NOS","Galactosemia, Classic","Galactosemias, Classic","UDP Galactose 4 Epimerase Deficiency Disease","UDP-Galactose-4-Epimerase Deficiency Disease","UDP-Galactose-4-Epimerase Deficiency Diseases","UDPglucose 4 Epimerase Deficiency Disease","UDPglucose 4-Epimerase Deficiency Disease","UDPglucose Hexose-1-Phosphate Uridylyltransferase Deficiency","UTP Hexose-1-Phosphate Uridylyltransferase Deficiency",		MeSH:D005693(Galactosemias),MedDRA:10017604(Galactosaemia),NDFRT:N0000001303(Galactosemias [Disease/Finding]),SnoMedCT:190745006(Galactosaemia),SnoMedCT:190747003(Galactosemia NOS),UMLS:C0016952(C0016952)
PA444241	Gallbladder Diseases	"Bladder Disease, Gall","Bladder Diseases, Gall","Disease, Gall Bladder","Disease, Gallbladder","Diseases, Gall Bladder","Diseases, Gallbladder","Gall Bladder Disease","Gall Bladder Diseases","Gallbladder Disease","Gallbladder disorder, NOS","Gallbladder disorders NOS",		MeSH:D005705(Gallbladder Diseases),MedDRA:10013103(Disease gallbladder),NDFRT:N0000001304(Gallbladder Diseases [Disease/Finding]),SnoMedCT:266542008(Gallbladder disorders NOS),SnoMedCT:39621005(Disorder of gallbladder),UMLS:C0016977(C0016977)
PA444242	Gallbladder Neoplasms	"Cancer of Gallbladder","Cancer of the Gallbladder","Cancer, Gallbladder","Cancers, Gallbladder","Gallbladder Cancer","Gallbladder Cancers","Gallbladder Neoplasm","Neoplasm, Gallbladder","Neoplasms, Gallbladder","Tumor of gallbladder","Tumour of gallbladder",		MeSH:D005706(Gallbladder Neoplasms),MedDRA:10050034(Gallbladder tumor),NDFRT:N0000001305(Gallbladder Neoplasms [Disease/Finding]),SnoMedCT:126854002(Neoplasm of gallbladder),UMLS:C0016978(C0016978)
PA444245	Gangrene	"Gangrene, NOS","Gangrenes","Gangrenous","Gangrenous disorder","[D]Gangrene",		MeSH:D005734(Gangrene),MedDRA:10017711(Gangrene),NDFRT:N0000001309(Gangrene [Disease/Finding]),SnoMedCT:207019006([D]Gangrene),SnoMedCT:36024000(Gangrene),SnoMedCT:372070002(Gangrenous disorder),UMLS:C0017086(C0017086)
PA444246	Gardner Syndrome	"Gardner Syndromes","Syndrome, Gardner","Syndromes, Gardner",		MeSH:D005736(Gardner Syndrome),MedDRA:10017727(Gardner's syndrome),NDFRT:N0000001310(Gardner Syndrome [Disease/Finding]),SnoMedCT:60876000(Gardner syndrome),UMLS:C0017097(C0017097)
PA444250	Gastritis	"Gastritides","Gastritis unspecified","Gastritis, NOS",		MeSH:D005756(Gastritis),MedDRA:10017790(Gastric inflammation),NDFRT:N0000001314(Gastritis [Disease/Finding]),SnoMedCT:196743006(Gastritis unspecified),SnoMedCT:4556007(Gastritis),UMLS:C0017152(C0017152)
PA444251	Gastritis, Atrophic	"Atrophic Gastritides","Atrophic Gastritis","CAG - Chronic atrophic gastritis","Gastritides, Atrophic",		MeSH:D005757(Gastritis, Atrophic),MedDRA:10003685(Atrophic gastritis),NDFRT:N0000001315(Gastritis, Atrophic [Disease/Finding]),SnoMedCT:196733008(Chronic atrophic gastritis),SnoMedCT:84568007(Atrophic gastritis),UMLS:C0017154(C0017154)
PA444253	Gastroenteritis	"GE - Gastroenteritis","Gastroenteritides","Gastroenteritis, NOS","Gastroenteropathy",		MeSH:D005759(Gastroenteritis),MedDRA:10017888(Gastroenteritis),NDFRT:N0000001317(Gastroenteritis [Disease/Finding]),SnoMedCT:25374005(Gastroenteritis),UMLS:C0017160(C0017160)
PA444255	Gastroesophageal Reflux	"Esophageal Reflux","Esophageal reflux","GERD - Gastro-esophageal reflux disease","GOR - Gastro-esophageal reflux","GORD - Gastro-oesophageal reflux disease","Gastric Regurgitation","Gastric Regurgitations","Gastro Esophageal Reflux","Gastro-Esophageal Reflux","Gastro-esophageal reflux","Gastro-esophageal reflux disease","Gastro-oesophageal reflux disease","Oesophageal reflux","Reflux, Esophageal","Reflux, Gastro-Esophageal","Reflux, Gastroesophageal","Regurgitation, Gastric","Regurgitations, Gastric",		MeSH:D005764(Gastroesophageal Reflux),MedDRA:10015389(Esophageal reflux),NDFRT:N0000001319(Gastroesophageal Reflux [Disease/Finding]),SnoMedCT:235595009(Gastroesophageal reflux disease),UMLS:C0017168(C0017168)
PA444256	Gastrointestinal Diseases	"Disease of digestive tract, NOS","Disease of gastrointestinal tract","Disease, Gastrointestinal","Diseases, Gastrointestinal","Disorder of digestive tract","Disorder of gastrointestinal tract","Gastrointestinal Disease","Gastrointestinal disorder, NOS","Gastrointestinal tract disorders NOS",		MeSH:D005767(Gastrointestinal Diseases),MedDRA:10013225(Disorder gastrointestinal),NDFRT:N0000001320(Gastrointestinal Diseases [Disease/Finding]),SnoMedCT:119292006(Disorder of gastrointestinal tract),SnoMedCT:286978000(Gastrointestinal tract disorders NOS),SnoMedCT:84410009(Disorder of digestive tract),UMLS:C0017178(C0017178)
PA444257	Gastrointestinal Neoplasms	"Cancer of Gastrointestinal System","Cancer of the Gastrointestinal System","Cancer, Gastrointestinal","Cancers, Gastrointestinal","Gastrointestinal Cancer","Gastrointestinal Cancers","Gastrointestinal Neoplasm","Gastrointestinal System Cancer","Gastrointestinal System Cancers","Neoplasm of gastrointestinal tract","Neoplasm, Gastrointestinal","Neoplasms, Gastrointestinal",		MeSH:D005770(Gastrointestinal Neoplasms),MedDRA:10061174(Gastrointestinal neoplasm),NDFRT:N0000001321(Gastrointestinal Neoplasms [Disease/Finding]),SnoMedCT:126768004(Neoplasm of gastrointestinal tract),UMLS:C0017185(C0017185)
PA444258	Gaucher Disease	"Acute Neuronopathic Gaucher Disease","Cerebroside Lipidosis Syndrome","Cerebroside Lipidosis Syndromes","Cerebroside lipidosis syndrome","Chronic Gaucher Disease","Deficiency Disease, Glucocerebrosidase","Deficiency Disease, Glucosylceramide Beta Glucosidase","Deficiency Disease, Glucosylceramide Beta-Glucosidase","Deficiency Diseases, Glucocerebrosidase","Disease, Acute Neuronopathic Gaucher","Disease, Chronic Gaucher","Disease, Gaucher, Acute Neuronopathic","Disease, Gaucher, Chronic","Disease, Glucocerebrosidase Deficiency","Diseases, Glucocerebrosidase Deficiency","Gaucher Disease, Acute Neuronopathic","Gaucher Disease, Chronic","Gaucher Disease, Infantile","Gaucher Disease, Juvenile","Gaucher Disease, Neuronopathic","Gaucher Disease, Non Neuronopathic Form","Gaucher Disease, Non-Neuronopathic","Gaucher Disease, Non-Neuronopathic Form","Gaucher Disease, Subacute Neuronopathic Form","Gaucher Disease, Type 1","Gaucher Disease, Type 2","Gaucher Disease, Type 3","Gaucher disease","Gaucher splenomegaly","Gaucher syndrome","Gaucher's Disease","Gaucher's disease","Gauchers Disease","Glucocerebrosidase Deficiency Disease","Glucocerebrosidase Deficiency Diseases","Glucocerebrosidase deficiency","Glucocerebrosidosis","Glucosylceramidase deficiency","Glucosylceramide Beta Glucosidase Deficiency Disease","Glucosylceramide Beta-Glucosidase Deficiency Disease","Glucosylceramide beta-glucosidase deficiency","Infantile Gaucher Disease","Juvenile Gaucher Disease","Kerasin lipoidosis","Kerasin thesaurismosis","Neuronopathic Gaucher Disease","Non Neuronopathic Gaucher Disease","Non-Neuronopathic Gaucher Disease","Noncerebral juvenile Gaucher's disease","Subacute Neuronopathic Gaucher Disease","Syndrome, Cerebroside Lipidosis","Syndromes, Cerebroside Lipidosis","Type 1 Gaucher Disease","Type 2 Gaucher Disease","Type 3 Gaucher Disease",		MeSH:D005776(Gaucher Disease),MedDRA:10018048(Gaucher's disease),NDFRT:N0000001322(Gaucher Disease [Disease/Finding]),SnoMedCT:180485001(Kerasin thesaurismosis),SnoMedCT:190794006(Gaucher's disease),SnoMedCT:62201009(Chronic non-neuropathic Gaucher's disease),UMLS:C0017205(C0017205)
PA444259	Genital Diseases, Female	"Disease of female genital organ","Disease of female genital system","Diseases, Female Genital","Diseases, Gynecologic","Disorder of female genital organs","Disorder of female genital system","Female Genital Disease","Female Genital Diseases","Female genital tract disorder NOS","Genital Disease, Female","Gynaecological disease","Gynecologic Disease","Gynecologic Diseases","Gynecological disease",		MeSH:D005831(Genital Diseases, Female),MedDRA:10061176(Genital disorder female),NDFRT:N0000001323(Genital Diseases, Female [Disease/Finding]),SnoMedCT:198486002(Female genital tract disorder NOS),SnoMedCT:244938009(Disorder of female genital organs),SnoMedCT:310789003(Disorder of female genital system),UMLS:C0017411(C0017411)
PA444261	Genital Neoplasms, Female	"Female Genital Neoplasm","Female Genital Neoplasms","Genital Neoplasm, Female","Gynecologic Neoplasm","Gynecologic Neoplasms","Neoplasm of female genital organ","Neoplasm, Female Genital","Neoplasm, Gynecologic","Neoplasms, Female Genital","Neoplasms, Gynecologic","Tumour of female genital organs",		MeSH:D005833(Genital Neoplasms, Female),MedDRA:10061153(Female reproductive neoplasm),NDFRT:N0000001325(Genital Neoplasms, Female [Disease/Finding]),SnoMedCT:126907002(Neoplasm of female genital organ),UMLS:C0017416(C0017416)
PA444265	Giant Cell Tumors	"Cell Tumor, Giant","Cell Tumors, Giant","Giant Cell Tumor","Giant cell tumor","Tumor, Giant Cell","Tumors, Giant Cell",		MeSH:D005870(Giant Cell Tumors),NDFRT:N0000001329(Giant Cell Tumors [Disease/Finding]),SnoMedCT:115238001(Giant cell tumor),UMLS:C0017525(C0017525)
PA444266	Giant Lymph Node Hyperplasia	"Angiofollicular Lymphoid Hyperplasia","Angiofollicular Lymphoid Hyperplasias","Angiofollicular lymph node hyperplasia","Benign angiofollicular hyperplasia","Castleman Disease","Castleman Tumor","Castleman's Disease","Castleman's Tumor","Castlemans Disease","Castlemans Tumor","GLNH","Giant lymph node hyperplasia","Hyperplasia, Angiofollicular Lymphoid","Hyperplasia, Giant Lymph Node","Hyperplasias, Angiofollicular Lymphoid","Lymph Node Hyperplasia, Giant","Lymphoid Hyperplasia, Angiofollicular","Lymphoid Hyperplasias, Angiofollicular","Tumor, Castleman's","[D] Castleman's disease",		MeSH:D005871(Giant Lymph Node Hyperplasia),MedDRA:10050251(Castleman's disease),NDFRT:N0000001330(Giant Lymph Node Hyperplasia [Disease/Finding]),SnoMedCT:207036003(Angiofollicular lymph node hyperplasia),SnoMedCT:238809002(Giant lymph node hyperplasia),UMLS:C0017531(C0017531)
PA444267	Giardiasis	"Giardial colitis","Giardial enteritis","Giardiases","Lambliases","Lambliasis",		MeSH:D005873(Giardiasis),MedDRA:10018261(Giardia lamblia infection),NDFRT:N0000001331(Giardiasis [Disease/Finding]),SnoMedCT:10679007(Infection by Giardia lamblia),SnoMedCT:58265007(Giardiasis),UMLS:C0017536(C0017536)
PA444268	Gigantism	"Disorders with tall stature","Genetic giant","Giantism","Giantism, NOS","Gigantisms",		MeSH:D005877(Gigantism),MedDRA:10018265(Gigantism),NDFRT:N0000001332(Gigantism [Disease/Finding]),SnoMedCT:363094008(Disorders with tall stature),SnoMedCT:80849007(Gigantism),UMLS:C0017547(C0017547)
PA444269	Gilbert Disease	"Benign unconjugated bilirubinaemia syndrome","Cholaemia familiaris simplex","Cholemia familiaris simplex","Chronic intermittent juvenile jaundice","Congenital familial cholaemia","Congenital familial cholemia","Constitutional hepatic dysfunction","Disease, Gilbert","Disease, Gilbert's","Familial nonhaemolytic bilirubinaemia","Familial nonhaemolytic jaundice","Familial nonhemolytic bilirubinemia","Gilbert syndrome","Gilbert's Disease","Gilbert's syndrome","Gilbert-Lereboullet syndrome","Gilberts Disease","Hereditary nonhaemolytic jaundice","Low-grade chronic hyperbilirubinaemia syndrome","Low-grade chronic hyperbilirubinemia syndrome","Meulengracht syndrome",		MeSH:D005878(Gilbert Disease),MedDRA:10018267(Gilbert's syndrome),NDFRT:N0000001333(Gilbert Disease [Disease/Finding]),SnoMedCT:27503000(Gilbert's syndrome),UMLS:C0017551(C0017551)
PA444270	Tourette Syndrome	"Combined Multiple Motor and Vocal Tic Disorder","Combined Vocal and Multiple Motor Tic Disorder","Combined vocal and multiple motor tic disorder","Gilles de la Tourette Syndrome","Gilles de la Tourette's Disease","Multiple Motor and Vocal Tic Disorder, Combined","Syndrome, Tourette's","Tic Disorder, Combined Vocal and Multiple Motor","Tourette Disease","Tourette Disorder","Tourette's Disease","Tourette's Disorder","Tourette's Syndrome","Tourette's disorder","Tourette's syndrome","Tourettes Disease","Tourettes Disorder","Tourettes Syndrome",		MeSH:D005879(Tourette Syndrome),MedDRA:10006370(Brissaud's II),NDFRT:N0000001334(Tourette Syndrome [Disease/Finding]),SnoMedCT:5158005(Gilles de la Tourette's syndrome),UMLS:C0040517(C0040517)
PA444273	Gingival Hyperplasia	"Gingival Hyperplasias","Hyperplasia, Gingival","Hyperplasias, Gingival",		MeSH:D005885(Gingival Hyperplasia),MedDRA:10018283(Gingival hyperplasia),NDFRT:N0000001337(Gingival Hyperplasia [Disease/Finding]),UMLS:C0017566(Gingival hyperplasia)
PA444276	Gingival Pocket	"Gingival Pockets","Gingival pocket","Pocket, Gingival","Pockets, Gingival",		MeSH:D005888(Gingival Pocket),MedDRA:10018287(Gingival pockets),NDFRT:N0000001340(Gingival Pocket [Disease/Finding]),SnoMedCT:109628004(Gingival pocket),UMLS:C0017571(C0017571)
PA444278	Gingivitis	"Gingivitides","Gingivitis, NOS",		MeSH:D005891(Gingivitis),MedDRA:10018292(Gingivitis),NDFRT:N0000001342(Gingivitis [Disease/Finding]),SnoMedCT:66383009(Gingivitis),UMLS:C0017574(C0017574)
PA444280	Glanders	"Equina","Equine glanders","Farcy","Farcy buds","Farcy cords","Farcy pipes","Glander","Infection due to Actinobacillus mallei","Infection due to Malleomyces mallei","Infection due to Pseudomonas mallei","Maliasmus","Malleus","Malleus (glanders)","Malleus structure",		MeSH:D005896(Glanders),MedDRA:10018298(Glanders),NDFRT:N0000001344(Glanders [Disease/Finding]),SnoMedCT:4639008(Glanders),UMLS:C0017589(C0017589)
PA444281	Glaucoma	"Glaucoma NOS","Glaucomas",		MeSH:D005901(Glaucoma),MedDRA:10018304(Glaucoma),NDFRT:N0000001345(Glaucoma [Disease/Finding]),SnoMedCT:193569008(Glaucoma NOS),SnoMedCT:23986001(Glaucoma),UMLS:C0017601(C0017601)
PA444282	Glaucoma, Open-Angle	"Compensated Glaucoma","Compensated Glaucomas","Compensative Glaucoma","Compensative Glaucomas","Glaucoma Simplex","Glaucoma, Compensated","Glaucoma, Compensative","Glaucoma, Open Angle","Glaucoma, Pigmentary","Glaucoma, Simple","Glaucomas, Compensated","Glaucomas, Compensative","Glaucomas, Open Angle","Glaucomas, Open-Angle","Glaucomas, Pigmentary","Glaucomas, Simple","Open Angle Glaucoma","Open Angle Glaucomas","Open-Angle Glaucoma","Open-Angle Glaucomas","Open-angle glaucoma NOS","Pigmentary Glaucoma","Pigmentary Glaucomas","Simple Glaucoma","Simple Glaucomas","Simplex, Glaucoma","Simplices, Glaucoma","Wide-angle glaucoma","Wide-angle glaucoma, NOS",		MeSH:D005902(Glaucoma, Open-Angle),MedDRA:10030348(Open angle glaucoma),NDFRT:N0000001346(Glaucoma, Open-Angle [Disease/Finding]),SnoMedCT:193538009(Unspecified open-angle glaucoma),SnoMedCT:193543002(Open-angle glaucoma NOS),SnoMedCT:46168003(Pigmentary glaucoma),SnoMedCT:84494001(Open-angle glaucoma),UMLS:C0017612(C0017612)
PA444283	Glioblastoma	"Astrocytoma, Grade IV","Astrocytomas, Grade IV","GLM - Glioblastoma multiforme","Giant Cell Glioblastoma","Giant Cell Glioblastomas","Glioblastoma Multiforme","Glioblastoma, Giant Cell","Glioblastomas","Glioblastomas, Giant Cell","Grade IV Astrocytoma","Grade IV Astrocytomas",		MeSH:D005909(Glioblastoma),MedDRA:10018336(Glioblastoma),NDFRT:N0000001347(Glioblastoma [Disease/Finding]),SnoMedCT:63634009(Glioblastoma),UMLS:C0017636(C0017636)
PA444284	Glioma	"Glial Cell Tumor","Glial Cell Tumors","Glioma, Malignant","Glioma, Mixed","Gliomas","Gliomas, Malignant","Gliomas, Mixed","Malignant Glioma","Malignant Gliomas","Mixed Glioma","Mixed Gliomas","Tumor, Glial Cell","Tumors, Glial Cell","[M]Gliomas",		MeSH:D005910(Glioma),MedDRA:10018338(Glioma),NDFRT:N0000001348(Glioma [Disease/Finding]),SnoMedCT:115240006(Glioma),UMLS:C0017638(C0017638)
PA444285	Gliosis	"Astrocytosis","Fibrillary gliosis","Glioses","Proliferation of glial fibers","fibrillary gliosis",		MeSH:D005911(Gliosis),MedDRA:10018341(Gliosis),NDFRT:N0000001349(Gliosis [Disease/Finding]),SnoMedCT:359580009(Fibrillary gliosis),SnoMedCT:81415000(Gliosis),UMLS:C0017639(C0017639)
PA444287	Glomerulonephritis	"Bright Disease","Disease, Bright","Glomerulonephritides","Glomerulonephritis, NOS","Heymann Nephritis","Nephritis, Heymann",		MeSH:D005921(Glomerulonephritis),MedDRA:10018364(Glomerulonephritis),NDFRT:N0000001351(Glomerulonephritis [Disease/Finding]),SnoMedCT:197648001(Unspecified glomerulonephritis NOS),SnoMedCT:36171008(Glomerulonephritis),UMLS:C0017658(C0017658)
PA444288	Glomerulonephritis, IGA	"Berger Disease","Berger's Disease","Berger's IgA or IgG nephropathy","Bergers Disease","Disease, Berger","Disease, Berger's","Focal glomerulonephritis","Glomerulonephritides, IGA","IGA Glomerulonephritides","IGA Glomerulonephritis","IGA Nephropathies","IGA Nephropathy","IgA nephropathy","IgAN - IgA nephropathy","Nephropathies, IGA","Nephropathy, IGA",		MeSH:D005922(Glomerulonephritis, IGA),MedDRA:10018369(Glomerulonephritis focal),NDFRT:N0000001352(Glomerulonephritis, IGA [Disease/Finding]),SnoMedCT:197632002(Berger's IgA or IgG nephropathy),SnoMedCT:236407003(IgA nephropathy),SnoMedCT:68779003(Primary IgA nephropathy),UMLS:C0017661(C0017661)
