"HgeneSymbol","TgeneSymbol","diseaseName","pubmedIds"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","LONP1","LonHS, hLON, PIM1","19p13.2","lon peptidase 1, mitochondrial","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","TFRC","CD71, TFR1","3q26.2-qter","transferrin receptor (p90, CD71)","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","CIITA","C2TA, NLRA","16p13","class II, major histocompatibility complex, transactivator","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","NACA","NACA1","12q23-q24.1","nascent polypeptide-associated complex alpha subunit","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","HSP90AB1",,"6p12","heat shock protein 90kDa alpha (cytosolic), class B member 1","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","HSP90AA1","Hsp89, Hsp90, FLJ31884, HSP90N","14q32.33","heat shock protein 90kDa alpha (cytosolic), class A member 1","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","HIST1H4I","H4/m","6p22.1","histone cluster 1, H4i","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","IL21R",,"16p11","interleukin 21 receptor","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","POU2AF1","OBF1","11q23.1","POU class 2 associating factor 1","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","RHOH","RhoH, TTF","4p13","ras homolog gene family, member H","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","EIF4A2","DDX2B, EIF4A, BM-010","3q28","eukaryotic translation initiation factor 4A, isoform 2","NHL,CLL"
"BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","SFRS3","SRp20","6p21","splicing factor, arginine/serine-rich 3","NHL,CLL"
"BCL7A",,"12q24.1","B-cell CLL/lymphoma 7A","MYC","c-Myc, bHLHe39","8q24","v-myc myelocytomatosis viral oncogene homolog (avian)","BNHL"
"BCL9",,"1q21","B-cell CLL/lymphoma 9","IGH@","IGH","14q32.32-q32.33","immunoglobulin heavy locus","B-ALL"
"BCL9",,"1q21","B-cell CLL/lymphoma 9","IGL@","IGL","22q11.2","immunoglobulin lambda locus","B-ALL"
"BCR","D22S662, CML, PHL, ALL","22q11","breakpoint cluster region","ABL1","JTK7, c-ABL, p150","9q34.1","c-abl oncogene 1, receptor tyrosine kinase","CML,ALL,AML"
"BCR","D22S662, CML, PHL, ALL","22q11","breakpoint cluster region","FGFR1","H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331","8p12","fibroblast growth factor receptor 1","CML,ALL,AML"
"BCR","D22S662, CML, PHL, ALL","22q11","breakpoint cluster region","JAK2","JTK10","9p24","Janus kinase 2 (a protein tyrosine kinase)","CML,ALL,AML"
"BIRC3","cIAP2, hiap-1, MIHC, RNF49, MALT2, c-IAP2","11q22","baculoviral IAP repeat-containing 3","MALT1",,"18q21","mucosa associated lymphoid tissue lymphoma translocation gene 1","MALT"
"BRAF","BRAF1","7q34","v-raf murine sarcoma viral oncogene homolog B1","AKAP9","KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A","7q21-q22","A kinase (PRKA) anchor protein (yotiao) 9","melanoma,colorectal,papillarythyroid,borderlineov,Nonsmall-celllungcancer(NSCLC),cholangiocarcinoma,pilocyticastrocytoma"
"BRAF","BRAF1","7q34","v-raf murine sarcoma viral oncogene homolog B1","KIAA1549",,"7q34","KIAA1549","melanoma,colorectal,papillarythyroid,borderlineov,Nonsmall-celllungcancer(NSCLC),cholangiocarcinoma,pilocyticastrocytoma"
"BRD4","HUNKI, MCAP, CAP, HUNK1","19","bromodomain containing 4","C15ORF55","NUT, DKFZp434O192","15q14","chromosome 15 open reading frame 55","lethalmidlinecarcinomaofyoungpeople"
"BTG1",,"12q22","B-cell translocation gene 1, anti-proliferative","MYC","c-Myc, bHLHe39","8q24","v-myc myelocytomatosis viral oncogene homolog (avian)","BCLL"
"C12ORF9","LPP-LRFT","12","chromosome 12 open reading frame 9","LPP",,"3q27-q28","LIM domain containing preferred translocation partner in lipoma","lipoma"
"C15ORF21","FLJ39426, D-PCa-2","15q15.1","chromosome 15 open reading frame 21","ETV1","ER81","7p22","ets variant 1","prostate"
"CARS","CARS1","11p15.5","cysteinyl-tRNA synthetase","ALK","CD246","2p23","anaplastic lymphoma receptor tyrosine kinase","ALCL"
"RUNX1T1","CDR, ETO, MTG8, ZMYND2","8q22","runt-related transcription factor 1; translocated to, 1 (cyclin D-related)","MLL","TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A","11q23","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","AML"
"RUNX1T1","CDR, ETO, MTG8, ZMYND2","8q22","runt-related transcription factor 1; translocated to, 1 (cyclin D-related)","RUNX1","PEBP2A2, AMLCR1","21q22.3","runt-related transcription factor 1","AML"
"CBFA2T3","MTGR2, ZMYND4","16q24","core-binding factor, runt domain, alpha subunit 2; translocated to, 3","RUNX1","PEBP2A2, AMLCR1","21q22.3","runt-related transcription factor 1","AML"
"CBFB","PEBP2B","16q22.1","core-binding factor, beta subunit","MYH11","SMMHC, SMHC","16p13.11","myosin, heavy chain 11, smooth muscle","AML"
"CBL","RNF55","11q23.3-qter","Cas-Br-M (murine) ecotropic retroviral transforming sequence","MLL","TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A","11q23","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","AML"
"CCND1","U21B31","11q13","cyclin D1","IGH@","IGH","14q32.32-q32.33","immunoglobulin heavy locus","CLL,B-ALL,breast"
"CCND1","U21B31","11q13","cyclin D1","FSTL3","FLRG, FSRP","19p13","follistatin-like 3 (secreted glycoprotein)","CLL,B-ALL,breast"
"CCND2",,"12p13","cyclin D2","IGL@","IGL","22q11.2","immunoglobulin lambda locus","NHL,CLL"
"CCND3",,"6p21","cyclin D3","IGH@","IGH","14q32.32-q32.33","immunoglobulin heavy locus","MM"
"CDH11","OB, CAD11","16q21","cadherin 11, type 2, OB-cadherin (osteoblast)","USP6","Tre-2, TRE17, Tre2","17p13","ubiquitin specific peptidase 6 (Tre-2 oncogene)","aneurysmalbonecysts"
"CDK6","PLSTIRE","7q21-q22","cyclin-dependent kinase 6","MLLT10","AF10","10p12","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10","ALL"
"CDX2",,"13q12.2","caudal type homeobox 2","ETV6","TEL","12p13","ets variant 6","AML"
"CDC42EP1","MSE55, CEP1, Borg5","22q13.1","CDC42 effector protein (Rho GTPase binding) 1","FGFR1","H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331","8p12","fibroblast growth factor receptor 1","MPD,NHL"
"CHIC2","BTL","4q11","cysteine-rich hydrophobic domain 2","ETV6","TEL","12p13","ets variant 6","AML"
"CHN1","RhoGAP2, ARHGAP2, n-chimerin","2q31-q32.1","chimerin (chimaerin) 1","TAF15","hTAFII68, RBP56, Npl3","17q11.1-q11.2","TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa","extraskeletalmyxoidchondrosarcoma"
"CIC","KIAA0306","19q13.2","capicua homolog (Drosophila)","DUX4",,"4q35","double homeobox, 4","softtissuesarcoma"
"CLTC","Hc","17q11-qter","clathrin, heavy chain (Hc)","ALK","CD246","2p23","anaplastic lymphoma receptor tyrosine kinase","ALCL"
"CXCR7","RDC1, GPR159","2q37.3","chemokine (C-X-C motif) receptor 7","HMGA2","BABL, LIPO","12q15","high mobility group AT-hook 2","lipoma"
"COL1A1","OI4","17q21.33","collagen, type I, alpha 1","PDGFB","SSV","22q13.1","platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)","dermatofibrosarcomaprotuberans,aneurysmalbonecyst"
"COL1A1","OI4","17q21.33","collagen, type I, alpha 1","USP6","Tre-2, TRE17, Tre2","17p13","ubiquitin specific peptidase 6 (Tre-2 oncogene)","dermatofibrosarcomaprotuberans,aneurysmalbonecyst"
"COX6C",,"8q22-q23","cytochrome c oxidase subunit VIc","HMGA2","BABL, LIPO","12q15","high mobility group AT-hook 2","uterineleiomyoma"
"CREB1",,"2q34","cAMP responsive element binding protein 1","EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","clearcellsarcoma,angiomatoidfibroushistiocytoma"
"CREB3L2","BBF2H7, TCAG_1951439","7q34","cAMP responsive element binding protein 3-like 2","FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","fibromyxoidsarcoma"
"CREBBP","RTS, CBP, KAT3A","16p13.3","CREB binding protein","MLL","TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A","11q23","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","AL,AML"
"CREBBP","RTS, CBP, KAT3A","16p13.3","CREB binding protein","MYST4","querkopf, qkf, Morf, KAT6B, MOZ2","10q22.2","MYST histone acetyltransferase (monocytic leukemia) 4","AL,AML"
"CREBBP","RTS, CBP, KAT3A","16p13.3","CREB binding protein","MYST3","MOZ, KAT6A","8p11","MYST histone acetyltransferase (monocytic leukemia) 3","AL,AML"
"CTNNB1","beta-catenin","3p21","catenin (cadherin-associated protein), beta 1, 88kDa","PLAG1",,"8q12","pleiomorphic adenoma gene 1","colorectal,cvarian,hepatoblastoma,others,pleomorphicsalivaryadenoma"
"CCDC6","PTC, TPC, H4","10q21.2","coiled-coil domain containing 6","RET","PTC, CDHF12, RET51","10q11.2","ret proto-oncogene","papillarythyroid,CML"
"CCDC6","PTC, TPC, H4","10q21.2","coiled-coil domain containing 6","PDGFRB","JTK12, CD140b, PDGFR1","5q33.1","platelet-derived growth factor receptor, beta polypeptide","papillarythyroid,CML"
"DDIT3","CHOP10, GADD153, CHOP","12q13.1-q13.2","DNA-damage-inducible transcript 3","FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","liposarcoma"
"DDX10","HRH-J8","11q22-q23","DEAD (Asp-Glu-Ala-Asp) box polypeptide 10","NUP98","NUP96","11p15","nucleoporin 98kDa","AML*"
"DDX6","RCK","11q23.3","DEAD (Asp-Glu-Ala-Asp) box polypeptide 6","IGH@","IGH","14q32.32-q32.33","immunoglobulin heavy locus","B-NHL"
"DEK","D6S231E","6p23","DEK oncogene","NUP214","CAIN, CAN, D9S46E, N214","9q34","nucleoporin 214kDa","AML"
"DUX4",,"4q35","double homeobox, 4","CIC","KIAA0306","19q13.2","capicua homolog (Drosophila)","softtissuesarcoma"
"EIF4A2","DDX2B, EIF4A, BM-010","3q28","eukaryotic translation initiation factor 4A, isoform 2","BCL6","ZBTB27, LAZ3, BCL5, BCL6A","3q27","B-cell CLL/lymphoma 6","NHL"
"ELF4","MEF, ELFR","Xq26","E74-like factor 4 (ets domain transcription factor)","ERG","erg-3, p55","21q22.3","v-ets erythroblastosis virus E26 oncogene homolog (avian)","AML"
"ERC1","ELKS, KIAA1081, CAST2, MGC12974","12p13.3","ELKS/RAB6-interacting/CAST family member 1","RET","PTC, CDHF12, RET51","10q11.2","ret proto-oncogene","papillarythyroid"
"ELL","Men, ELL1","19p13.1","elongation factor RNA polymerase II","MLL","TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A","11q23","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","AL"
"ELN","WBS, WS, SVAS","7q11.1-q21.1","elastin","PAX5","BSAP","9p13.2","paired box 5","B-ALL"
"EML4","ROPP120, ELP120","2p21","echinoderm microtubule associated protein like 4","ALK","CD246","2p23","anaplastic lymphoma receptor tyrosine kinase","NSCLC"
"EP300","p300, KAT3B","22q13.2","E1A binding protein p300","MLL","TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A","11q23","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","colorectal,breast,pancreatic,AML"
"EP300","p300, KAT3B","22q13.2","E1A binding protein p300","MYST3","MOZ, KAT6A","8p11","MYST histone acetyltransferase (monocytic leukemia) 3","colorectal,breast,pancreatic,AML"
"EPS15","AF-1P, MLLT5","1p32","epidermal growth factor receptor pathway substrate 15","MLL","TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A","11q23","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","ALL"
"ERG","erg-3, p55","21q22.3","v-ets erythroblastosis virus E26 oncogene homolog (avian)","EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","Ewingsarcoma,prostate,AML"
"ERG","erg-3, p55","21q22.3","v-ets erythroblastosis virus E26 oncogene homolog (avian)","TMPRSS2","PRSS10","21q22.3","transmembrane protease, serine 2","Ewingsarcoma,prostate,AML"
"ERG","erg-3, p55","21q22.3","v-ets erythroblastosis virus E26 oncogene homolog (avian)","ELF4","MEF, ELFR","Xq26","E74-like factor 4 (ets domain transcription factor)","Ewingsarcoma,prostate,AML"
"ERG","erg-3, p55","21q22.3","v-ets erythroblastosis virus E26 oncogene homolog (avian)","FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","Ewingsarcoma,prostate,AML"
"ETV1","ER81","7p22","ets variant 1","EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","Ewingsarcoma,prostate"
"ETV1","ER81","7p22","ets variant 1","TMPRSS2","PRSS10","21q22.3","transmembrane protease, serine 2","Ewingsarcoma,prostate"
"ETV1","ER81","7p22","ets variant 1","SLC45A3","IPCA-6, prostein, IPCA-2, IPCA-8","1q32.1","solute carrier family 45, member 3","Ewingsarcoma,prostate"
"ETV1","ER81","7p22","ets variant 1","C15ORF21","FLJ39426, D-PCa-2","15q15.1","chromosome 15 open reading frame 21","Ewingsarcoma,prostate"
"ETV1","ER81","7p22","ets variant 1","HNRNPA2B1",,"7p15","heterogeneous nuclear ribonucleoprotein A2/B1","Ewingsarcoma,prostate"
"ETV4","E1A-F, E1AF","17q21","ets variant 4","EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","Ewingsarcoma,Prostatecarcinoma"
"ETV4","E1A-F, E1AF","17q21","ets variant 4","TMPRSS2","PRSS10","21q22.3","transmembrane protease, serine 2","Ewingsarcoma,Prostatecarcinoma"
"ETV5","ERM","3q28","ets variant 5","TMPRSS2","PRSS10","21q22.3","transmembrane protease, serine 2","Prostate"
"ETV6","TEL","12p13","ets variant 6","NTRK3","TRKC","15q24-q25","neurotrophic tyrosine kinase, receptor, type 3","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","RUNX1","PEBP2A2, AMLCR1","21q22.3","runt-related transcription factor 1","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","PDGFRB","JTK12, CD140b, PDGFR1","5q33.1","platelet-derived growth factor receptor, beta polypeptide","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","ABL1","JTK7, c-ABL, p150","9q34.1","c-abl oncogene 1, receptor tyrosine kinase","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","MN1","MGCR1-PEN","22q12.1","meningioma (disrupted in balanced translocation) 1","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","ABL2","ARG","1q25.2","v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","ACSL6","KIAA0837, ACS2, LACS5, LACS2","5q31","acyl-CoA synthetase long-chain family member 6","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","CHIC2","BTL","4q11","cysteine-rich hydrophobic domain 2","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","ARNT","HIF-1beta, bHLHe2","1q21","aryl hydrocarbon receptor nuclear translocator","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","JAK2","JTK10","9p24","Janus kinase 2 (a protein tyrosine kinase)","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","MECOM","MDS1-EVI1, PRDM3","3q26","\N","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","CDX2",,"13q12.2","caudal type homeobox 2","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","MNX1","HB9, HOXHB9, SCRA1","7q36","motor neuron and pancreas homeobox 1","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","MDS2",,"1p36","myelodysplastic syndrome 2 translocation associated","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","PGAP3","MGC9753, CAB2, PP1498, PER1","17q21.2","\N","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","SYK",,"9q22","spleen tyrosine kinase","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","TTL","MGC46235","2q13","tubulin tyrosine ligase","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","FGFR3","CEK2, JTK4, CD333","4p16.3","fibroblast growth factor receptor 3","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"ETV6","TEL","12p13","ets variant 6","PAX5","BSAP","9p13.2","paired box 5","congenitalfibrosarcoma,multipleleukemiaandlymphoma,secretorybreast,MDS,ALL"
"MECOM","MDS1-EVI1, PRDM3","3q26","\N","RUNX1","PEBP2A2, AMLCR1","21q22.3","runt-related transcription factor 1","AML,CML"
"MECOM","MDS1-EVI1, PRDM3","3q26","\N","ETV6","TEL","12p13","ets variant 6","AML,CML"
"MECOM","MDS1-EVI1, PRDM3","3q26","\N","PRDM16","MEL1, PFM13, KIAA1675, MGC166915","1p36.23-p33","PR domain containing 16","AML,CML"
"MECOM","MDS1-EVI1, PRDM3","3q26","\N","PSMD2","S2, P97, TRAP2, MGC14274, Rpn1","3q27.3","proteasome (prosome, macropain) 26S subunit, non-ATPase, 2","AML,CML"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","FLII","FLI, FLIL, Fli1, MGC39265","17p11.2","flightless I homolog (Drosophila)","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","ERG","erg-3, p55","21q22.3","v-ets erythroblastosis virus E26 oncogene homolog (avian)","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","PATZ1","MAZR, dJ400N23, ZBTB19, ZSG, RIAZ, PATZ","22q12.2","POZ (BTB) and AT hook containing zinc finger 1","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","NR4A3","CSMF, CHN, NOR1, MINOR","9q22","nuclear receptor subfamily 4, group A, member 3","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","FEV","Pet-1","2q36","FEV (ETS oncogene family)","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","GDNF","ATF1, ATF2, HFB1-GDNF","5p13.1-p12","glial cell derived neurotrophic factor","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","ETV1","ER81","7p22","ets variant 1","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","ETV4","E1A-F, E1AF","17q21","ets variant 4","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","WT1","WAGR, WIT-2","11p13","Wilms tumor 1","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","ZNF384","CAGH1A, CIZ, NMP4, NP","12p12","zinc finger protein 384","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","CREB1",,"2q34","cAMP responsive element binding protein 1","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","POU5F1","OCT3, Oct4, MGC22487","6p21.33","POU class 5 homeobox 1","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","PBX1",,"1q23.3","pre-B-cell leukemia homeobox 1","Ewingsarcoma,desmoplasticsmallroundcelltumor,ALL,clearcellsarcoma,sarcoma,myoepithelioma"
"ACSL6","KIAA0837, ACS2, LACS5, LACS2","5q31","acyl-CoA synthetase long-chain family member 6","ETV6","TEL","12p13","ets variant 6","AML,AEL"
"FEV","Pet-1","2q36","FEV (ETS oncogene family)","EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","Ewingsarcoma"
"FEV","Pet-1","2q36","FEV (ETS oncogene family)","FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","Ewingsarcoma"
"FGFR1","H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331","8p12","fibroblast growth factor receptor 1","BCR","D22S662, CML, PHL, ALL","22q11","breakpoint cluster region","MPD,NHL"
"FGFR1","H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331","8p12","fibroblast growth factor receptor 1","FGFR1OP","FOP","6q27","FGFR1 oncogene partner","MPD,NHL"
"FGFR1","H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331","8p12","fibroblast growth factor receptor 1","ZMYM2","RAMP, FIM, MYM","13q11-q12","zinc finger, MYM-type 2","MPD,NHL"
"FGFR1","H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331","8p12","fibroblast growth factor receptor 1","CDC42EP1","MSE55, CEP1, Borg5","22q13.1","CDC42 effector protein (Rho GTPase binding) 1","MPD,NHL"
"FGFR1OP","FOP","6q27","FGFR1 oncogene partner","FGFR1","H2, H3, H4, H5, CEK, FLG, BFGFR, N-SAM, CD331","8p12","fibroblast growth factor receptor 1","MPD,NHL"
"FGFR3","CEK2, JTK4, CD333","4p16.3","fibroblast growth factor receptor 3","IGH@","IGH","14q32.32-q32.33","immunoglobulin heavy locus","bladder,MM,T-celllymphoma"
"FGFR3","CEK2, JTK4, CD333","4p16.3","fibroblast growth factor receptor 3","ETV6","TEL","12p13","ets variant 6","bladder,MM,T-celllymphoma"
"FIP1L1","DKFZp586K0717","4q11-q12","FIP1 like 1 (S. cerevisiae)","PDGFRA","CD140a, PDGFR2","4q12","platelet-derived growth factor receptor, alpha polypeptide","idiopathichypereosinophilicsyndrome"
"FLII","FLI, FLIL, Fli1, MGC39265","17p11.2","flightless I homolog (Drosophila)","EWSR1","EWS","22q12.2","Ewing sarcoma breakpoint region 1","Ewingsarcoma"
"FNBP1","FBP17, KIAA0554","9q34","formin binding protein 1","MLL","TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A","11q23","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","AML"
"FOXO1","FKH1","13q14.1","forkhead box O1","PAX3","HUP2","2q36.1","paired box 3","alveolarrhabdomyosarcomas"
"FOXO3","AF6q21, FOXO2","6q21","forkhead box O3","MLL","TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A, KMT2A","11q23","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","AL"
"FOXP1","QRF1, 12CC4, HSPC215, hFKH1B","3p14.1","forkhead box P1","PAX5","BSAP","9p13.2","paired box 5","ALL"
"FSTL3","FLRG, FSRP","19p13","follistatin-like 3 (secreted glycoprotein)","CCND1","U21B31","11q13","cyclin D1","B-CLL"
"FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","DDIT3","CHOP10, GADD153, CHOP","12q13.1-q13.2","DNA-damage-inducible transcript 3","liposarcoma,AML,Ewingsarcoma,angiomatoidfibroushistiocytoma,fibromyxoidsarcoma"
"FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","ERG","erg-3, p55","21q22.3","v-ets erythroblastosis virus E26 oncogene homolog (avian)","liposarcoma,AML,Ewingsarcoma,angiomatoidfibroushistiocytoma,fibromyxoidsarcoma"
"FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","FEV","Pet-1","2q36","FEV (ETS oncogene family)","liposarcoma,AML,Ewingsarcoma,angiomatoidfibroushistiocytoma,fibromyxoidsarcoma"
"FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","GDNF","ATF1, ATF2, HFB1-GDNF","5p13.1-p12","glial cell derived neurotrophic factor","liposarcoma,AML,Ewingsarcoma,angiomatoidfibroushistiocytoma,fibromyxoidsarcoma"
"FUS","TLS, FUS1, hnRNP-P2","16p11.2","fusion (involved in t(12;16) in malignant liposarcoma)","CREB3L2","BBF2H7, TCAG_1951439","7q34","cAMP responsive element binding protein 3-like 2","liposarcoma,AML,Ewingsarcoma,angiomatoidfibroushistiocytoma,fibromyxoidsarcoma"
