object	size
journalFiles:European Archives of Psychiatry and Clinical Neuroscience	66
journalBytes:Health Education Research	799532
journalFiles:ISRN Oncology	168
journalFiles:The World Allergy Organization Journal	486
journalBytes:Ocular Immunology and Inflammation	51543
journalFiles:Chromatographia	23
journalFiles:International Journal for Quality in Health Care	25
journalBytes:Biochemistry	12610702
journalBytes:Clinics in Chest Medicine	47272
journalBytes:Journal of Experimental Botany	159346787
journalFiles:The Journal of Sexual Medicine	1
journalFiles:Journal of Experimental Marine Biology and Ecology	3
journalFiles:Dermatologic Surgery	2
journalBytes:Journal of Neurodevelopmental Disorders	4606527
journalFiles:Energy & Fuels	1
journalFiles:Scientometrics	51
journalBytes:Enzyme and Microbial Technology	92137
journalFiles:Placenta	19
journalBytes:Bioorganic & Medicinal Chemistry	816504
journalBytes:ISRN Cardiology	2434395
journalBytes:Gynecological Endocrinology	176170
journalFiles:Pain	26
journalBytes:Applied Surface Science	60781
articleCount_1993	2833
articleCount_1990	2316
articleCount_1991	2349
articleCount_1996	3205
articleCount_1997	3497
articleCount_1994	3072
articleCount_1995	2977
journalFiles:Arthritis	63
journalBytes:Korean Journal of Orthodontics	1212829
articleCount_1998	3799
articleCount_1999	3924
journalBytes:Human Fertility (Cambridge, England)	38281
journalFiles:Journal of Microencapsulation	1
journalFiles:Journal of Dermatological Science	1
journalBytes:The Pan African medical journal	729207
journalBytes:Philosophy and Phenomenological Research	93835
journalBytes:Vegetation History and Archaeobotany	83019
journalBytes:Journal of Biomedical Materials Research. Part B, Applied Biomaterials	41671
journalFiles:Current Pediatric Reviews	1
journalBytes:Surface Science	180543
journalFiles:BioResearch Open Access	62
journalFiles:The Aging Male	2
journalBytes:Chemistry (Weinheim an Der Bergstrasse, Germany)	1171339
journalBytes:Journal of Biomedical Semantics	6517178
journalFiles:Human Vaccines & Immunotherapeutics	51
journalBytes:American Journal of Sexuality Education	61637
journalFiles:Bioinformatics	2341
journalFiles:Dynamic Medicine	14
journalBytes:Sensors and Actuators. A, Physical	39137
journalBytes:Bioinformation	16718929
journalBytes:Computational Intelligence and Neuroscience	7547111
journalBytes:Case Reports in Neurology	2064355
journalFiles:Cell Reports	48
journalBytes:Therapeutic Advances in Cardiovascular Disease	37044
journalBytes:Orthopedic Reviews	2494576
journalFiles:Journal of Fish Biology	4
journalBytes:Tropical Doctor	44067
journalFiles:Physica. C, Superconductivity	1
journalBytes:Journal of Muscle Research and Cell Motility	1215584
journalBytes:Environmental Pollution (Barking, Essex : 1987)	111985
journalFiles:Acta Psychologica	2
journalBytes:Preventive Medicine	84544
journalBytes:Brain Research Reviews	90541
journalBytes:Medical Decision Making	41736
journalBytes:Journal of Assisted Reproduction and Genetics	1217215
journalBytes:Sozial- Und Praventivmedizin	121137
journalBytes:New Genetics and Society	91397
journalFiles:Bioessays	32
journalFiles:The Journal of Positive Psychology	2
journalFiles:Journal of Insect Physiology	5
journalFiles:Plant Science (Shannon, Ireland)	1
journalFiles:Acta Orthopaedica	562
journalFiles:Iranian Endodontic Journal	102
journalFiles:Optics Express	159
journalBytes:Radiation Protection Dosimetry	95093
journalFiles:Archives of Public Health	81
journalBytes:Bilingualism (Cambridge, England)	99551
journalBytes:Forensic Toxicology	17916
journalFiles:Mediators of Inflammation	1537
journalBytes:Cardiovascular Ultrasound	13821405
journalFiles:Neotropical Entomology	4
journalBytes:American Journal of Epidemiology	6623250
journalFiles:Infectious diseases in obstetrics and gynecology	5
pmidCount_1999	3443
pmidCount_1998	3527
pmidCount_1995	2836
pmidCount_1994	2962
pmidCount_1997	3255
pmidCount_1996	3072
pmidCount_1991	2250
pmidCount_1990	2203
journalFiles:Progress in Biophysics and Molecular Biology	3
pmidCount_1992	2175
journalFiles:Journal of Infection Prevention	1
journalFiles:Journal of the Royal Statistical Society. Series C, Applied Statistics	9
journalFiles:Journal of Affective Disorders	24
journalFiles:Molecular Immunology	44
journalBytes:DARU Journal of Pharmaceutical Sciences	3997947
journalFiles:Journal of Cognitive Psychology (Hove, England)	1
journalBytes:Neurogastroenterology and Motility	151963
articleTypeFiles:abstract	20047
journalBytes:Nature methods	53759699
journalBytes:Free Radical Biology & Medicine	1147062
journalBytes:Annals of Hematology	2563307
journalFiles:Journal of Medicinal Chemistry	186
journalBytes:Journal of Computational Neuroscience	5338413
journalBytes:Molecular Genetics and Genomics 	2673404
journalFiles:International Journal of Emergency Medicine	382
journalFiles:Clinical Medicine Insights. Pathology	11
journalFiles:Nursing in Critical Care	1
journalBytes:Forensic Science International. Genetics	344743
journalBytes:Journal of Insect Science	33028217
journalBytes:Resuscitation	268903
journalFiles:Organic Letters	71
journalBytes:International Journal of Clinical Practice	6040292
journalBytes:Fems Microbiology Reviews	6135219
journalFiles:Current Cardiology Reports	11
journalBytes:Trends in Plant Science	145929
journalFiles:Molecular Cytogenetics	204
journalFiles:Current Molecular Medicine	11
journalFiles:Journal of Mental Health (Abingdon, England)	2
journalBytes:Fems Microbiology Ecology	498437
journalFiles:Journal of Family & Community Medicine	322
journalFiles:Lung	12
journalBytes:Acta Neuropathologica	9744686
journalBytes:Immunobiology	276036
journalBytes:Therapeutics and Clinical Risk Management	26511051
journalFiles:International Journal of Stomatology & Occlusion Medicine	1
journalFiles:Journal of Biomedical Optics	5
journalFiles:Prostate cancer and prostatic diseases	10
journalBytes:Annals of Biomedical Engineering	5730018
journalFiles:The Botanical Review; Interpreting Botanical Progress	1
journalBytes:Journal of Molecular Signaling	4823908
journalBytes:Sexually Transmitted Infections	4129609
journalBytes:Clinical Immunology (Orlando, Fla.)	200276
journalBytes:The Journal of Nutritional Biochemistry	124462
journalFiles:Biotechnology Advances	1
journalFiles:Molecular Oncology	4
articleCountWithAbstract_1995	2396
journalFiles:Gene Therapy	62
journalFiles:Pharmacognosy Research	173
journalBytes:Journal of Clinical Laboratory Analysis	37878
journalFiles:Clinical Pharmacology : Advances and Applications	18
journalBytes:Pathogens and Global Health	38232
journalBytes:EURASIP Journal on Bioinformatics and Systems Biology	7175292
journalBytes:International Journal of Hypertension	7943302
journalFiles:Clinical Neurology and Neurosurgery	2
journalBytes:The Journal of Cell Biology	1050404221
journalBytes:Mutagenesis	485507
journalBytes:National Journal of Maxillofacial Surgery	1744228
journalFiles:Journal of Chromatography. a	11
journalBytes:Oral Radiology	32170
journalBytes:Microvascular Research	88971
journalBytes:BJA: British Journal of Anaesthesia	875582
journalFiles:Journal of Inclusion Phenomena and Macrocyclic Chemistry	1
journalBytes:Biologics : Targets & Therapy	13163676
journalFiles:Movement Disorders	9
journalFiles:Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease	165
journalFiles:Memory (Hove, England)	7
journalBytes:Journal of Biomolecular Nmr	3940130
journalFiles:International Journal of Hematology	12
journalFiles:Respirology (Carlton, Vic.)	1
journalBytes:Fems Microbiology Letters	1022878
journalBytes:The Journal of Adolescent Health	585566
journalFiles:Social Neuroscience	6
journalBytes:Behavioral Neuroscience	583712
journalFiles:European Journal of Clinical Nutrition	43
journalBytes:Trends in Biochemical Sciences	248873
journalBytes:Journal of Experimental Marine Biology and Ecology	131491
journalFiles:Infectious Diseases in Obstetrics and Gynecology	813
journalFiles:Environmental Monitoring and Assessment	21
journalFiles:Geoforum; Journal of Physical, Human, and Regional Geosciences	1
journalBytes:Conflict and Health	4243652
journalFiles:Archivum Immunologiae et Therapiae Experimentalis	42
journalFiles:Nature Neuroscience	87
journalFiles:The Clinical Respiratory Journal	2
journalFiles:International Journal of Hypertension	224
journalFiles:Studies in History and Philosophy of Science	1
journalFiles:BMC Chemical Biology	62
journalFiles:Journal of Bone and Mineral Metabolism	5
journalFiles:Geomorphology (Amsterdam, Netherlands)	8
journalFiles:Critical Reviews in Toxicology	24
journalBytes:Journal of Traumatic Stress	91208
journalFiles:European Neuropsychopharmacology	2
journalFiles:International Journal of Colorectal Disease	73
journalFiles:Mutagenesis	13
journalFiles:Journal of Neural Transplantation	14
journalFiles:Nature biotechnology	262
journalFiles:Bipolar Disorders	3
journalFiles:Archives of Biochemistry and Biophysics	12
journalBytes:Biocatalysis and Biotransformation	38992
journalFiles:AMIA Summits on Translational Science Proceedings	58
journalFiles:Nuclear Instruments & Methods in Physics Research. Section A, Accelerators, Spectrometers, Detectors and Associated Equipment	3
journalFiles:International Journal of Qualitative Studies on Health and Well-being	114
journalFiles:International Orthopaedics	44
journalBytes:Patient Related Outcome Measures	2025398
journalBytes:Child and Adolescent Mental Health	39013
journalFiles:The California Journal of Emergency Medicine	95
journalBytes:Chemistry & Biodiversity	111942
journalBytes:PLoS ONE	7431134687
journalBytes:International Breastfeeding Journal	5556721
journalBytes:Journal of Community Health	1090427
journalFiles:Korean Journal of Anesthesiology	706
journalBytes:Amyloid 	43299
journalFiles:Journal of Feline Medicine and Surgery	3
journalBytes:Inhalation Toxicology	766387
journalBytes:Journal of Cancer Epidemiology	2652852
journalFiles:Journal of Epidemiology and Community Health	72
articleTypeFiles:rapid-communication	662
journalFiles:Journal of Biological Dynamics	2
journalFiles:Clinical Radiology	1
journalBytes:Nuclear Receptor	1467592
journalFiles:Nature Cell Biology	123
journalFiles:Nigerian Medical Journal : Journal of the Nigeria Medical Association	83
journalBytes:Italian Studies	53660
journalBytes:Disease Models & Mechanisms	15060817
journalFiles:Electrophoresis	2
journalFiles:Journal of Comparative Physiology. A, Neuroethology, Sensory, Neural, and Behavioral Physiology	48
journalFiles:Surface & Coatings Technology	6
journalFiles:Current Infectious Disease Reports	10
journalBytes:Abdominal Imaging	527067
journalFiles:Gene Expression Patterns 	4
journalBytes:The International Journal of Biochemistry & Cell Biology	800228
journalBytes:Neurocase	79183
journalFiles:Clinical and molecular allergy : CMA	41
journalFiles:Journal of Gastroenterology	19
journalBytes:Protein Science : A Publication of the Protein Society	640130
journalBytes:Communicative & Integrative Biology	2685611
journalFiles:The Journal of Urology	3
journalFiles:The AAPS Journal	51
journalFiles:Journal of Family and Community Medicine	104
journalFiles:Mathematical and Computer Modelling of Dynamical Systems	1
journalFiles:Advanced Engineering Materials	1
journalFiles:Journal of Clinical and Experimental Neuropsychology	3
journalBytes:Dermatology Research and Practice	3406136
journalBytes:International Journal of Radiation Biology	276742
journalFiles:Journal of Psychopharmacology (Oxford, England)	25
journalFiles:Journal of Physiology, Paris	1
journalFiles:Journal of Electroanalytical Chemistry (Lausanne, Switzerland)	1
journalFiles:Journal of Pain & Palliative Care Pharmacotherapy	1
journalFiles:Clinical Pharmacokinetics	1
journalFiles:Pharmacology & Therapeutics	2
journalFiles:Journal of Interventional Cardiac Electrophysiology	29
journalFiles:Nature Communications	904
journalFiles:Head & Neck	1
journalFiles:International Neurourology Journal	101
journalBytes:The Lancet Oncology	1114887
journalBytes:Environmental Health	30966607
journalFiles:The Journal of Clinical Endocrinology and Metabolism	59
journalBytes:Journal of Biomedicine and Biotechnology	95834616
journalFiles:Best Practice & Research. Clinical Rheumatology	2
journalBytes:Journal of Circadian Rhythms	3865229
journalBytes:Nature Structural &#x00026; Molecular Biology	10299490
journalFiles:Journal of Public Health (Oxford, England)	13
journalBytes:Neurobiology of Aging	590921
journalFiles:Differentiation; Research in Biological Diversity	5
journalBytes:DARU : Journal of Faculty of Pharmacy, Tehran University of Medical Sciences	2015604
journalBytes:Respiratory Physiology & Neurobiology	23649
journalFiles:Case Reports in Oncological Medicine	106
journalFiles:American Journal of Physiology. Heart and Circulatory Physiology	1
journalBytes:Journal of Global Infectious Diseases	4737432
journalBytes:Endocrine, Metabolic & Immune Disorders Drug Targets	41296
journalFiles:Clinical Research in Cardiology	65
journalFiles:Journal of Blood Medicine	21
journalBytes:Journal of the Neurological Sciences	285125
journalFiles:World Development	1
journalBytes:Nature chemical biology	10644722
journalFiles:Mechanisms of Ageing and Development	11
journalFiles:Transplant Infectious Disease	1
journalBytes:Food Digestion	132943
journalBytes:Journal of Cerebrovascular and Endovascular Neurosurgery	491241
journalFiles:International Journal of Microbiology	187
journalFiles:Archives of Dermatological Research	41
journalBytes:Toxicology and Industrial Health	38637
journalFiles:Laboratory Animals	6
journalFiles:Caries Research	2
journalFiles:Biomechanics and Modeling in Mechanobiology	4
journalBytes:Current Reviews in Musculoskeletal Medicine	1809456
journalFiles:International Journal of Health Geographics	646
journalFiles:Neurosurgery Clinics of North America	1
journalBytes:Mobile DNA	19093804
journalBytes:Acta Psychologica	148471
journalBytes:Journal of Anesthesia	295425
journalBytes:Clinical Psychology Review	582159
journalFiles:Journal of Orthopaedic Research	4
journalFiles:Phytochemistry	7
journalBytes:Journal of Biomolecular Screening	29620
journalBytes:Scandinavian Journal of Public Health	37473
journalBytes:Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc	1151266
journalBytes:Electrolytes & Blood Pressure : E & BP	963841
journalBytes:Biotechnology Letters	929940
journalBytes:Health Services Research	119417
journalBytes:Human Nature (Hawthorne, N.y.)	442335
journalFiles:International Urogynecology Journal and Pelvic Floor Dysfunction	22
journalFiles:Clinical and Experimental Medicine	8
journalFiles:Brain and Behavior	134
journalFiles:The Journal of Primary Prevention	1
journalBytes:Journal of Oncology Pharmacy Practice	25126
journalBytes:Journal of Anaesthesiology, Clinical Pharmacology	5824970
journalBytes:Aging & Mental Health	78497
journalFiles:Acta Neurologica Belgica	3
journalFiles:Multiple Sclerosis International	59
journalBytes:Genetical Research	68298
journalBytes:European Heart Journal	8667285
journalBytes:Cost effectiveness and resource allocation : C/E	1558531
journalFiles:Journal of Robotic Surgery	8
journalFiles:ZooKeys	5446
journalFiles:The Journal of Investigative Dermatology. Symposium Proceedings	1
journalBytes:Nature neuroscience	36178024
journalBytes:Medicina Oral, Patología Oral y Cirugía Bucal	4824722
journalFiles:Cancer Letters	2
journalFiles:International Journal of Epidemiology	179
journalFiles:Oncology Letters	125
journalFiles:Annals of Microbiology	9
journalFiles:Western Journal of Emergency Medicine	578
journalBytes:ClinicoEconomics and Outcomes Research: CEOR	3157138
journalFiles:Medicine, Health Care, and Philosophy	58
journalBytes:International Journal of Public Health	1120406
journalBytes:Eye	413577
journalFiles:Microelectronic Engineering	2
journalBytes:Reproductive Biomedicine Online	182586
journalBytes:Progress in Lipid Research	106408
journalFiles:Plant Biotechnology Reports	5
journalBytes:Sar and Qsar in Environmental Research	29904
journalBytes:International Journal of Women's Health	7777284
journalBytes:Neurology Research International	4241291
journalFiles:The Journal of Tehran Heart Center	97
journalBytes:Journal of Health, Population, and Nutrition	14485281
journalFiles:Evaluation and Program Planning	1
journalFiles:Bulletin of Entomological Research	2
journalFiles:European Journal of Operational Research	1
journalFiles:Current Oncology	272
journalBytes:The Journal of Tehran University Heart Center	452583
journalBytes:Neurointervention	824032
journalFiles:Current Medicinal Chemistry	19
journalFiles:International Journal of Audiology	6
journalFiles:Micron (Oxford, England : 1993)	6
journalBytes:International Journal of Antimicrobial Agents	89852
journalFiles:The Open Orthopaedics journal	4
journalFiles:Case Reports in Ophthalmological Medicine	102
journalFiles:European Journal of Haematology	39
journalFiles:Hypertension Research	26
journalBytes:Journal of Environmental Monitoring	56418
journalBytes:Laterality	80691
journalFiles:Quality of Life Research	144
journalFiles:G3: Genes|Genomes|Genetics	287
journalBytes:Journal of Orthopaedic Science	1730095
journalFiles:Genes, Chromosomes & Cancer	5
journalFiles:Clinical and molecular hepatology	40
journalBytes:Skeletal Radiology	1504485
journalBytes:Journal of Diabetes Investigation	65025
journalFiles:Ticks and Tick-Borne Diseases	2
journalFiles:Clinical Practice and Epidemiology in Mental Health : CP & EMH	230
journalBytes:Journal of Biophotonics	22391
articleTypeFiles:addendum	50
journalBytes:Cancer Gene Therapy	1539135
journalBytes:Acta Neurochirurgica	1746602
journalBytes:Microbial Ecology	2795787
journalFiles:Indian Journal of Community Medicine : Official Publication of Indian Association of Preventive & Social Medicine	495
journalBytes:Thrombosis Research. Supplement	179228
journalBytes:Plant Molecular Biology	7686880
journalFiles:The ISME journal	18
journalBytes:Pediatric Cardiology	1305046
journalFiles:American Journal of Human Biology	2
journalFiles:Journal of Digital Imaging: the official journal of the Society for Computer Applications in Radiology	17
journalBytes:Journal of cerebrovascular and endovascular neurosurgery	287659
journalFiles:Iranian Journal of Basic Medical Sciences	104
journalBytes:Reproductive biology and endocrinology : RB&E	14654792
journalFiles:Addiction Biology	5
journalFiles:Emotion Review	1
journalFiles:Macromolecules	12
journalBytes:Organic Letters	1607202
journalBytes:Drug, Healthcare and Patient Safety	1496326
journalFiles:Nature Immunology	54
journalBytes:PPAR research	165020
journalBytes:Annals of Human Genetics	230157
journalFiles:Current Neurology and Neuroscience Reports	10
journalFiles:Malaria Journal	3591
journalFiles:Economic Botany	7
journalBytes:PLoS Computational Biology	709888158
journalBytes:Zeitschrift Fur Psychologie	145764
journalBytes:Climacteric	46257
journalFiles:Journal of foot and ankle research	2
journalFiles:Entertainment Computing	1
journalFiles:European Biophysics Journal	29
journalFiles:General and Comparative Endocrinology	1
journalBytes:Pediatric Neurology	46241
journalBytes:Journal of Toxicology	6400469
journalBytes:Hand (New York, N.Y.)	213206
journalBytes:Journal of Aging Research	10899888
journalFiles:Trends in Molecular Medicine	2
journalFiles:Dermato-endocrinology	60
journalFiles:Evidence-Based Child Health	1
journalFiles:The Journal of Physiology	106
abstractBytes	1277399894
journalFiles:The British Journal of Nutrition	11
journalBytes:Current Treatment Options in Cardiovascular Medicine	241012
journalFiles:The Indian Journal of Medical Research	577
journalFiles:The Yale Journal of Biology and Medicine	7236
journalBytes:The Journal of Antibiotics	125450
journalFiles:European Urology	1
journalFiles:International Journal of Toxicology	1
journalBytes:Avian Pathology	31614
journalFiles:Journal of Clinical Pathology	46
journalBytes:Macromolecules	341305
journalBytes:Physical Chemistry Chemical Physics	26556
journalBytes:European Surgery	48417
journalFiles:Molecular Therapy. Nucleic Acids	167
journalFiles:Brain Tumor Pathology	3
journalFiles:Advanced Healthcare Materials	1
journalFiles:Perspectives in Clinical Research	131
journalFiles:Current Biology 	131
journalFiles:The European Journal of Public Health	31
journalFiles:Data & Knowledge Engineering	1
journalFiles:Anatomy & Cell Biology	104
journalBytes:Journal of Reproductive Immunology	63722
journalFiles:The Journal of Molecular Diagnostics : JMD	2
journalFiles:Expert Opinion on Medical Diagnostics	1
journalBytes:Journal of Contemporary Brachytherapy	1282763
journalFiles:BMC Genetics	2059
journalBytes:Leukemia : official journal of the Leukemia Society of America, Leukemia Research Fund, U.K	3872839
journalBytes:Physiological Genomics	554678
journalBytes:The Open Orthopaedics Journal	7472107
journalFiles:Journal of Modern Optics	2
journalFiles:Symbiosis (Philadelphia, Pa.)	14
journalFiles:Molecular Cancer	2198
journalBytes:Journal of Brachial Plexus and Peripheral Nerve Injury	3183192
journalFiles:EvoDevo	152
journalBytes:Molecular psychiatry	3131981
journalBytes:Toxicological and Environmental Chemistry	184661
journalFiles:Materials Science & Engineering	4
journalFiles:Current Genetics	27
journalBytes:International Journal of Nephrology	7723576
articleTypeFiles:introduction	229
journalBytes:Journal of Affective Disorders	841543
journalBytes:Journal of the American College of Cardiology	85046
journalFiles:Journal of Human Kinetics	159
journalBytes:Accounts of Chemical Research	653875
journalFiles:Systems Biology in Reproductive Medicine	2
journalBytes:Accident; Analysis and Prevention	27650
journalBytes:Epidemiology and Health	854430
journalFiles:International Journal of Biological Sciences	697
journalBytes:Journal of Medical Screening	265635
journalFiles:Frontiers in Immunology	597
journalBytes:Current Opinion in Structural Biology	241701
journalBytes:Synapse (New York, N.y.)	39347
journalBytes:Diabetes, metabolic syndrome and obesity : targets and therapy	2896686
journalFiles:Molecular and Biochemical Parasitology	72
journalBytes:Journal of Peptide Science	86103
journalFiles:The Journal of Membrane Biology	94
journalFiles:Acta Histochemica	1
journalBytes:Journal of Biosocial Science	166849
journalBytes:Microbes and Infection / Institut Pasteur	390650
journalBytes:Journal of Mid-Life Health	1193045
journalFiles:Comparative and Functional Genomics	617
journalBytes:Molecular Psychiatry	7252691
journalFiles:Clinical Microbiology and Infection	11
journalFiles:Database: The Journal of Biological Databases and Curation	205
journalBytes:Infant Behavior & Development	167116
journalBytes:Reviews in Endocrine & Metabolic Disorders	572689
journalFiles:Briefings in Bioinformatics	30
journalBytes:Child's Nervous System	1290055
journalFiles:Emerging Infectious Diseases	7203
journalBytes:Forest Ecology and Management	209615
journalFiles:Journal of Quantitative Criminology	1
journalFiles:Planetary and Space Science	2
journalFiles:Advances in Enzyme Regulation	2
journalBytes:Journal of Biological Engineering	10760874
journalBytes:Integrative and Comparative Biology	484569
journalFiles:Applied Surface Science	2
journalBytes:Lancet Neurology	1656346
journalFiles:The Prostate	2
journalFiles:Journal of Immunological Methods	14
journalBytes:Laboratory Investigation; a Journal of Technical Methods and Pathology	920640
journalBytes:Prenatal Diagnosis	150722
journalBytes:Frontiers in Neurology	15585051
journalFiles:Journal of Fluorescence	27
journalFiles:Cancer Metastasis Reviews	22
journalBytes:Journal of Integrative Plant Biology	54629
journalBytes:Case Reports in Radiology	1035639
journalFiles:Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology	70
journalFiles:Diabetes, Obesity & Metabolism	36
journalBytes:The Journal of Spinal Cord Medicine	75709
journalFiles:American Journal of Kidney Diseases	14
journalFiles:Archives of Oral Biology	6
journalFiles:Journal of Tissue Engineering	43
journalBytes:Journal of Veterinary Internal Medicine	188919
journalFiles:Internal and Emergency Medicine	20
journalFiles:Journal of Asthma and Allergy	43
journalBytes:Journal of Gambling Studies	342195
journalBytes:International Journal of Tryptophan Research : IJTR	1566624
journalFiles:Progress in Brain Research	2
journalFiles:Journal of Toxicology	139
journalFiles:Cell Death and Differentiation	158
journalBytes:Clinical Psychology & Psychotherapy	57748
journalFiles:Scandinavian Journal of Primary Health Care	1
journalFiles:Translational Oncogenomics	16
journalFiles:Oncoimmunology	414
journalBytes:Experimental Physiology	996581
journalFiles:American Journal of Physiology. Lung Cellular and Molecular Physiology	1
journalBytes:Critical Public Health	212606
journalBytes:Veterinary Microbiology	310774
journalBytes:Ophthalmic Genetics	21627
journalFiles:Philosophy and Phenomenological Research	1
journalBytes:Optik	18794
journalFiles:International Journal of Critical Illness and Injury Science	72
journalFiles:Development Genes and Evolution	41
journalBytes:Experimental Dermatology	61892
journalBytes:Health Care Analysis	1510169
journalFiles:Briefings in Functional Genomics and Proteomics	1
journalFiles:IMA Fungus : The Global Mycological Journal	49
journalFiles:Journal of Automated Methods &  Management in Chemistry	1
journalFiles:Molecular Human Reproduction	59
journalBytes:Case Reports in Anesthesiology	709384
journalFiles:Chemical Society Reviews	1
journalFiles:Cell Journal (Yakhteh)	50
journalBytes:Addiction Biology	197373
journalBytes:Cardiovascular Therapeutics	246681
journalBytes:Geomorphology (Amsterdam, Netherlands)	275973
journalFiles:New Ideas in Psychology	2
journalBytes:Journal of Korean Neurosurgical Society	4123972
journalBytes:Midwifery	57482
journalFiles:The Journal of Manual & Manipulative Therapy	1
journalFiles:Nature structural & molecular biology	44
journalBytes:Quaternary Science Reviews	893100
journalFiles:Academic Emergency Medicine	3
journalFiles:Genomics	21
journalBytes:World Journal of Nuclear Medicine	1058695
journalBytes:The British Journal of Nutrition	445133
journalFiles:Neuron	148
journalFiles:Avian Pathology	1
journalBytes:Journal of Toxicologic Pathology	4580545
journalFiles:Neuroepidemiology	1
journalFiles:Schizophrenia Research and Treatment	48
articleCountWithAbstract_1905	20
journalFiles:Current Nutrition and Food Science	2
journalBytes:Quaternary International	148570
journalBytes:Attention, Perception, & Psychophysics	626263
journalBytes:GMS Thoracic Surgical Science	57199
journalBytes:Ultramicroscopy	241491
journalFiles:Standards in Genomic Sciences	283
journalBytes:Israel Journal of Chemistry	54809
journalBytes:Health and Technology	82851
journalFiles:Journal of Adult Development	1
journalFiles:Critical Reviews in Clinical Laboratory Sciences	1
journalBytes:Biotechnology Progress	142003
journalBytes:Annals of Thoracic Medicine	5992505
journalBytes:Case Reports in Endocrinology	1159325
journalFiles:Cancer Biology & Therapy	20
journalFiles:Trends in Parasitology	17
journalFiles:Pulmonary Circulation	128
journalBytes:Journal of molecular and genetic medicine : an international journal of biomedical research	696229
journalFiles:Diabetes, metabolic syndrome and obesity : targets and therapy	66
journalBytes:Acta Crystallographica Section B: Structural Science	1441508
journalBytes:Neuroscience	2717279
journalBytes:BMC Clinical Pharmacology	5258851
journalFiles:European Journal of Pharmaceutical Sciences	5
journalBytes:Clinical Therapeutics	43272
journalFiles:Supportive Care in Cancer	98
journalBytes:Journal of Fluorescence	1046950
journalBytes:Virulence	3030662
journalFiles:International Journal of Fatigue	1
journalFiles:Memory & Cognition	14
journalFiles:World Journal of Nuclear Medicine	46
journalBytes:Women & Health	55754
journalFiles:Cancer Medicine	67
journalFiles:The Journal of Organic Chemistry	41
journalBytes:ISRN Pharmacology	2489845
journalFiles:Dynamic Medicine : DM	24
journalBytes:Neuron	8353325
journalFiles:The Open Nursing Journal	68
journalFiles:The Libyan Journal of Medicine	298
journalBytes:Lung	336438
journalFiles:Therapeutic Advances in Cardiovascular Disease	1
journalFiles:Gene Regulation and Systems Biology	112
journalBytes:Clinical Rehabilitation	400774
journalFiles:Sexual Plant Reproduction	8
journalBytes:JRSM Short Reports	4700965
journalBytes:Molecular Biosystems	3049864
journalFiles:Harvard Review of Psychiatry	9
journalFiles:New Journal of Chemistry	1
journalBytes:Transcription	49688
journalBytes:Journal of Neurosciences in Rural Practice	3551761
journalFiles:Phytochemistry Reviews	13
journalBytes:Journal of Immigrant and Minority Health	1488890
journalBytes:Particle and Fibre Toxicology	13002265
journalFiles:Travel Medicine and Infectious Disease	1
journalFiles:Clinical Toxicology (Philadelphia, Pa.)	4
journalFiles:Enzyme and Microbial Technology	2
journalBytes:Cytojournal	481364
journalBytes:Thoracic Surgical Science	286987
journalBytes:Computer Methods in Biomechanics and Biomedical Engineering	41031
journalBytes:Nature structural & molecular biology	1414995
journalFiles:ISRN Rheumatology	34
articleCountWithAbstract_2009	48114
articleCountWithAbstract_2008	33471
articleCountWithAbstract_2007	20227
articleCountWithAbstract_2006	14138
articleCountWithAbstract_2005	10424
articleCountWithAbstract_2004	6276
articleCountWithAbstract_2003	4514
articleCountWithAbstract_2002	4329
articleCountWithAbstract_2001	3792
journalFiles:BMC Clinical Pharmacology	170
journalFiles:Livestock Science	1
journalFiles:Indian Journal of Psychiatry	2549
journalFiles:International Journal of Yoga	109
journalBytes:Case Reports in Vascular Medicine	631762
journalBytes:Rice (New York, N.y.)	28588
journalFiles:Head and Neck Pathology	32
journalBytes:Research in Microbiology	139078
journalBytes:International Journal of Endocrinology	9451963
journalFiles:Neuroinformatics	21
journalFiles:Bioresource Technology	4
journalBytes:TAG. Theoretical and Applied Genetics. Theoretische Und Angewandte Genetik	17576507
journalFiles:Survey of Ophthalmology	1
journalBytes:Dermatology and Therapy	108226
journalBytes:International Journal of Health Care Finance and Economics	160780
journalFiles:Journal of Anesthesia	12
journalFiles:Genetics in Medicine	26
journalFiles:British Journal of Pharmacology	87
journalBytes:BMC Dermatology	4260329
journalBytes:ecancermedicalscience	4697424
journalFiles:Breast Cancer Research	968
journalBytes:CNS Drugs	93315
journalFiles:Journal of Anxiety Disorders	6
journalBytes:The Journal of Chemical Thermodynamics	43438
journalBytes:Sex Roles	1600851
journalBytes:Recent Patents on CNS Drug Discovery	100166
journalBytes:Brain Topography	1074861
journalFiles:Psychological Science 	1
journalFiles:Cancer Immunology, Immunotherapy 	39
journalBytes:Health Policy and Planning	1507167
journalFiles:Population and Environment	7
journalFiles:Interdisciplinary Perspectives on Infectious Diseases	130
journalBytes:Synthetic Metals	93586
journalBytes:Zoology (Jena, Germany)	43997
journalFiles:Molecular Plant	71
journalBytes:Gene Therapy	1177649
journalFiles:Journal of Neurochemistry	54
journalFiles:Radiology Research and Practice	54
journalBytes:Microfluidics and Nanofluidics	90803
journalBytes:Global Public Health	469708
