ISSN	impact
1354-3776	3.571
1472-8222	3.716
1478-7210	3.283
1473-7140	2.652
1744-666X	2.072
1747-4086	1.161
1743-4440	2.632
1473-7159	4.859
1462-3994	7.143
1478-9450	3.685
1476-0584	4.251
0266-4720	0.684
0957-4174	2.203
0812-3985	0.634
1550-8307	1.027
0723-0869	0.902
1788-618X	1.769
1386-1999	1.263
1431-0651	2.941
0950-222X	1.851
1542-2321	1.252
0736-6825	0.963
0172-9179	1.388
1389-9600	1.302
0263-2136	1.503
1091-7527	1.055
1364-5498	5
0014-8237	0.669
0892-6638	5.712
8756-758X	0.847
1742-464X	3.79
0014-5793	3.538
0928-8244	2.441
0168-6496	3.408
0378-1097	2.044
0168-6445	10.96
1567-1356	2.403
0015-0193	0.391
0731-5171	0.931
0015-0282	3.564
1015-3837	1.048
1551-3815	0.613
0181-9801	0.043
0177-7963	1.438
0146-8030	0.507
1229-9197	0.836
0015-0541	0.292
1230-3666	0.532
0378-4290	2.474
0354-5180	0.421
0015-1882	0.111
0949-2984	1.2
0168-874X	1.058
1071-5797	0.586
0308-0501	1.185
0379-7112	1.656
0015-2684	0.426
0090-0656	1.098
1467-2960	5.8
1054-6006	2.044
0388-788X	0.721
0920-1742	1.528
0165-7836	1.586
1050-4648	3.322
0363-2415	2.367
0969-997X	1.294
0919-9268	0.937
0367-326X	1.848
1583-5022	0.97
1687-1812	1.634
0015-4040	1.363
0882-5734	1.424
0015-363X	0.09
1936-6582	0.25
0367-2530	1.639
0955-5986	0.8
1386-6184	1.108
0219-4775	1.176
0169-5983	0.673
0015-4628	0.296
0378-3812	2.139
0015-4725	0.824
1933-6934	1.296
0015-5497	0.657
0015-5500	1.151
1211-9520	1.5
0239-8508	0.807
0015-5632	0.677
0015-5659	0.521
1641-4640	1.234
0015-5683	1.812
1021-7762	1.115
0015-5713	1
0139-7893	0.554
1944-0049	1.765
1939-3210	0.891
0954-0105	0.714
1936-9751	1.943
1032-5298	0.348
1557-1858	2.187
1935-5130	3.703
0960-3085	1.94
0890-5436	0.521
0308-8146	3.655
0278-6915	2.999
0956-7135	2.656
1064-590X	0.758
1866-7910	1.893
1867-0334	1.562
2042-6496	1.179
0268-005X	3.473
0015-6426	0.225
0740-0020	3.283
0379-5721	1.922
0306-9192	2.054
0950-3293	1.824
0963-9969	3.15
8755-9129	1.447
1226-7708	0.493
1082-0132	0.681
1344-6606	0.557
1876-4517	1.97
1330-9862	1.195
0015-6639	0.375
1535-3141	2.26
1083-7515	0.709
1071-1007	1.218
0379-0738	2.301
1872-4973	3.082
1547-769X	1.444
1860-8965	3
0015-7546	0.868
0378-1127	2.487
1437-4781	1.74
1389-9341	1.482
0015-749X	1.047
2171-5068	0.333
0015-752X	1.337
0950-1746	0.417
0934-5043	0.463
0925-9856	0.69
1082-801X	0.245
0015-7899	0.268
1021-7096	1.652
0720-4299	0.741
0015-8208	1.162
0933-7741	0.607
1435-1943	1.231
1802-5439	1.327
1615-3375	3.615
0015-9018	1.055
1233-1821	0.81
0429-2766	0.296
0218-348X	0.448
0891-5849	5.423
1071-5762	2.878
0016-1136	0.124
1018-4619	0.66
0046-5070	3.29
1093-9946	3.52
1662-5102	4.171
1662-5188	2.147
1673-7350	0.266
1540-9295	9.113
1673-7415	0.754
0301-3073	1.712
1662-5161	2.339
1673-3452	0.547
1662-5110	5.098
1662-5129	3.068
0091-3022	11.429
1673-3487	0.901
2095-0462	  
1742-9994	4.46
0248-1294	0.764
0016-2361	3.248
1615-6846	3.149
0378-3820	2.945
0016-2523	0.114
1536-383X	0.772
0016-2663	0.64
0269-8463	4.567
1438-793X	2.842
1793-6047	0.724
0393-5264	1.518
1445-4408	2.929
1863-9135	1.145
0767-3981	1.799
0169-2968	0.365
0016-2736	0.408
1878-6146	1.429
1560-2745	4.769
1754-5048	2.507
1087-1845	3.737
0532-8721	0.349
0920-3796	1.49
1536-1055	1.12
0167-739X	1.978
1756-8919	2.522
1746-0913	3.819
1479-6694	3.163
1746-0794	1.21
1568-4539	1.488
0165-0114	1.759
0016-3813	0.221
0213-9111	1.326
0966-6362	2.123
1436-3291	2.421
0399-8320	0.799
0210-5705	0.727
1687-6121	0.978
0889-8553	2.618
1042-895X	0.705
0016-5085	11.675
0016-5107	4.878
0717-652X	0.388
0016-5301	0.517
1757-1693	3.617
0016-5751	0.823
0949-8036	0.478
0948-7034	0.236
0234-5730	0.089
0016-6480	3.267
0163-8343	2.744
0231-5882	1.192
0001-7701	2.069
1550-8579	2.101
0378-1119	2.341
1045-2257	3.306
0890-9369	11.659
1567-133X	2.016
1052-2166	1.308
0969-7128	3.71
1529-9120	0.724
1601-1848	3.476
1356-9597	2.68
1341-7568	0.952
1976-9571	0.442
1466-4879	3.872
1555-8932	2.507
1526-954X	2.527
1015-8146	0.505
1935-472X	0.065
0741-0395	3.441
1098-3600	4.762
1415-4757	0.634
1676-5680	1.184
1389-2576	1
0016-6723	1.712
0925-9864	1.554
0999-193X	2.885
1945-0265	1.11
0016-6707	2.148
0016-6731	4.007
0534-0012	0.44
0831-2796	1.653
1474-7596	9.036
1759-6653	4.618
1088-9051	13.608
0888-7543	3.019
0276-0460	1.472
1025-6059	1.4
0883-6353	0.87
1472-4677	4.111
0016-6995	1.01
1525-2027	3.021
0016-7029	0.46
0016-7002	0.711
1467-4866	1.5
1467-7873	0.71
0016-7037	4.259
1733-8387	0.425
0016-7061	2.318
0985-3111	0.471
1280-9659	1.266
0016-7169	0.574
0352-3659	0.789
1468-8115	1.5
0435-3676	1.109
0391-9838	0.468
1384-6175	1.143
1695-6133	1.672
1374-8505	0.773
1335-0552	0.787
1330-030X	0.575
0072-1050	1.342
0016-7568	1.764
1075-7015	0.29
1641-7291	0.844
0016-7606	3.787
1604-8156	0.087
0091-7613	3.612
1016-443X	1.246
1465-3060	1.295
0046-5755	0.364
0149-0451	2.017
1266-5304	0.689
0169-555X	2.52
0309-1929	1
0956-540X	2.42
0016-8025	1.315
0094-8276	3.792
0016-8033	1.418
1072-947X	0.262
0315-0941	0.056
1226-4806	0.744
1991-959X	3.237
1827-1987	3
1553-040X	2.12
1639-4488	2
1072-6349	1.08
0149-6115	0.505
0016-8505	1.461
0016-8521	0.754
0266-1144	2.036
0375-6505	1.919
1444-1586	2.164
0197-4572	0.844
2115-8789	 
0016-867X	1.345
0734-0664	1.033
0304-324X	2.777
0367-4223	0.348
1103-5897	0.977
1841-4435	0.046
1695-3827	0
0017-0011	0.411
0026-4741	0.864
1548-1603	0.642
0017-095X	0.302
0017-0895	0.571
0361-7610	0.343
1087-6596	0.492
1753-3546	0.512
0894-1491	4.82
0886-6236	4.785
1354-1013	6.862
1466-822X	5.145
0959-3780	6.868
1654-9880	1.267
1790-7632	0.536
0921-8181	2.93
1744-8603	2.65
0959-6658	3.58
0282-0080	2.117
0017-1557	3.517
1342-937X	6.659
0017-2294	0.167
0860-0953	0.262
1080-5370	1.667
0350-2465	0.082
0721-832X	2.17
0017-3134	0.554
1434-5021	1.755
0911-0119	0.319
1524-0703	1
0017-3495	1.138
0142-5242	1.099
0202-2893	0.46
1463-9262	6.32
1751-8253	0.976
0017-467X	1.785
1069-3629	0.947
1661-7207	0.508
0897-7194	1.65
1096-6374	2.164
1430-483X	0.912
0017-5749	10.111
1976-2283	0.829
1757-4749	2.109
0951-3590	1.581
1297-9589	0.518
0378-7346	1.276
0090-8258	3.888
1303-5010	0.354
0390-6078	6.424
1351-8216	2.597
0720-9355	1.19
0749-0712	0.717
0722-1819	0.875
1568-9883	3.083
1070-0048	0.2
0093-0334	1.55
0017-8470	0.576
1758-3284	3.135
1043-3074	2.403
0017-8748	2.524
0278-2715	4.313
0195-8631	2.059
1057-9230	2.123
1369-6513	2.315
1833-3583	0.824
1460-4582	1
0017-9078	1.68
1353-8292	2.669
0168-8510	1.506
0268-1080	2.651
0278-6133	3.873
1477-7525	2.112
0840-6529	3.264
0017-9124	2.157
1366-5278	4.255
1840-2291	0.435
0378-5955	2.696
1355-6037	4.223
1382-4147	3.2
0147-9563	1.318
1443-9506	1.196
1547-5271	4.102
1098-3511	0.416
0910-8327	2.047
0947-7411	0.896
1064-2285	0.181
0145-7632	0.892
1438-387X	1.281
1083-4389	3.151
1109-9666	1.227
1790-5427	0.805
0440-6605	0.773
0018-019X	1.478
0367-598X	0.205
0278-0232	2.475
0889-8588	2.637
1024-5332	1.487
1492-7535	1.543
0363-0269	1.304
1735-143X	2.19
0172-6390	0.658
1499-3872	1.082
1936-0533	2.645
1386-6346	2.199
0270-9139	11.665
1019-3316	0.252
1731-2302	1.68
0018-0661	0.788
0018-067X	4.597
1265-4906	1.843
1931-7603	0.615
0268-0130	0.812
0733-1347	2.818
0018-0831	1.605
1013-4425	0.389
0340-9937	0.924
1042-7163	1.243
0793-0283	0.265
0385-5414	0.999
1955-2068	2.317
0188-8897	0.404
1527-0297	1.771
0018-1439	0.815
1574-1818	1.595
0954-0083	0.884
0895-7959	0.778
0334-6455	0.242
0018-151X	0.432
0971-8966	0.486
1120-7000	0.763
1050-9631	5.176
1108-4189	0.525
0018-2079	0.211
0891-2963	1.068
0952-6951	0.621
0315-0860	0.355
0391-9714	0.324
0144-5340	0.235
0727-3061	0.4
0073-2753	0.667
1939-1811	0.44
0948-6143	2.588
0213-3911	2.48
0309-0167	3.082
1528-4336	1.638
1464-2662	3.006
0017-6192	0.4
0385-4035	0.255
0887-9311	0.525
0959-6836	2.595
0018-3830	1.748
1475-4916	1.141
1532-0073	0.549
1024-9079	0.103
1569-1861	0.353
1013-9923	0.027
0018-506X	3.865
0018-5043	2.188
0301-0163	2.48
1663-2818	1.571
1109-3099	2.437
0102-0536	0.328
0862-867X	0.477
0018-5345	0.778
1063-0198	0.418
0018-6368	0.238
0362-1588	0.359
1365-182X	1.604
0018-7143	1.312
1065-9471	5.88
1749-0774	1.27
1080-7039	1.538
0960-3271	1.772
1090-8471	0.612
0018-7208	1.187
1464-7273	1.377
1043-0342	4.218
0340-6717	5.069
0001-5652	1.789
0198-8859	2.837
0964-6906	7.636
0167-9457	1.775
1059-7794	5.686
0046-8177	2.876
0885-6222	2.476
0268-1161	4.475
1355-4786	9.234
1554-8600	3.577
0737-0024	1.476
1078-9669	0.683
1554-0014	0.417
0018-8158	1.784
0018-8190	0.082
1431-2174	1.387
1027-5606	3.148
0885-6087	2.488
1998-9563	0.976
1439-1783	0.404
0262-6667	1.541
0304-386X	2.027
1433-5158	0.5
1064-1955	1.694
0916-9636	2.576
0194-911X	6.207
0394-1914	0.333
0928-1541	1.042
0019-1019	2.43
0018-8646	0.723
0019-1035	3.385
1670-567X	0.562
1054-3139	2.007
1389-6911	1.154
1042-0940	0.688
0936-9902	0.9
1341-8998	0.865
0019-1442	0.488
0324-6329	0.364
1369-7056	2.276
1545-5963	1.543
1063-6692	2.033
0885-8985	0.297
1058-6180	0.378
1045-9243	0.968
1536-1225	1.374
1531-636X	1.439
1089-7798	0.982
0163-6804	3.785
1553-877X	6.311
1556-6056	0.828
0272-1716	1.411
1556-603X	3.368
1066-033X	2.491
0740-7475	1.386
0741-3106	2.849
0883-7554	1.333
0739-5175	2.057
1545-598X	1.56
1077-2618	0.64
1932-4529	5
1094-6969	0.406
1541-1672	2.154
1089-7801	2
0364-9059	0.95
0018-9197	1.879
0733-8716	3.413
1077-260X	3.78
0018-9200	3.226
1939-1404	1.489
1932-4553	2.88
1548-0992	0.346
0272-1732	1.783
1527-3342	2.111
1531-1309	1.717
1070-986X	0.438
0890-8044	2.239
1536-1268	1.554
1041-1135	2.191
1943-0655	2.32
1540-7977	2.408
1070-9932	1.985
1540-7993	0.898
1530-437X	1.52
1070-9908	1.388
1053-5888	4.066
0740-7459	1.508
0018-9235	1.139
1932-8184	0.923
0018-9251	1.095
0018-926X	2.151
1051-8223	1.041
1558-7916	1.498
1545-5955	1.461
0018-9286	2.11
1943-0604	2.31
0018-9294	2.278
1932-4545	2.032
0018-9316	1.703
1051-8215	1.649
1549-8328	1.97
1549-7747	1.41
0090-6778	1.677
1943-068X	1.617
2156-3950	0.977
0018-9340	1.103
0278-0070	1.271
0098-3063	0.941
1063-6536	1.766
1545-5971	1.14
1530-4388	1.543
1070-9878	1.094
0018-9359	1.021
0018-9375	1.178
0018-9383	2.318
0885-8969	2.272
0018-9391	0.958
1089-778X	3.341
1063-6706	4.26
0196-2892	2.895
1939-1412	1.49
1057-7149	3.042
0093-9994	1.657
0278-0046	5.16
1551-3203	2.99
1556-6013	1.34
1089-7771	1.676
0018-9448	3.009
0018-9456	1.214
1524-9050	3.452
1041-4347	1.657
1939-1382	0.823
0018-9464	1.363
0278-0062	3.643
0018-9480	1.853
1536-1233	2.283
1520-9210	1.935
1536-1241	1.28
1536-125X	2.292
1534-4320	3.436
1045-9227	2.952
0018-9499	1.447
1045-9219	1.402
0162-8828	4.908
0093-3813	1.174
0885-8977	1.353
0885-8993	4.65
0885-8950	2.678
0018-9529	1.285
1552-3098	2.536
0894-6507	0.722
1939-1374	1.468
1053-587X	2.628
0098-5589	1.98
1083-4427	2.123
1083-4419	3.08
1094-6977	2.009
0885-3010	1.694
0018-9545	1.921
1077-2626	2.215
1063-8210	1.219
1536-1276	2.586
0278-0097	0.308
1556-6072	1.226
1536-1284	2.575
1083-4435	2.865
1931-4973	0.363
1349-2543	0.461
0916-8516	0.254
0916-8524	0.4
0916-8508	0.226
0916-8532	0.178
1751-858X	0.547
1751-8628	0.829
1751-8601	0.446
1751-9632	0.636
1751-8644	0.99
1751-8660	1.173
1751-8687	1.197
1751-9659	0.639
1751-8709	0.143
1751-956X	0.512
1751-8725	0.681
1751-8741	1.833
1751-8768	1.029
1755-4535	1.621
1751-8784	0.878
1752-1416	1.742
1751-8822	0.603
1751-9675	0.561
1751-8806	0.329
1751-8849	1.349
0377-2063	0.2
0256-4602	0.724
1971-7458	0.507
0073-4705	0.158
0073-4721	0.23
0740-817X	0.856
1084-2020	2.333
0019-2082	0.337
0272-4960	0.776
1471-678X	0.404
0265-0754	0.382
0272-4979	1.481
0262-8856	1.723
1368-2199	0.575
1074-7613	21.637
0923-2532	0.039
0171-2985	3.205
0093-7711	2.934
0889-8561	2.556
0818-9641	3.661
0882-0139	1.164
0165-2478	2.526
0257-277X	3.026
0105-2896	11.148
0019-2805	3.321
0892-3973	1.829
1750-743X	1.854
1056-6163	1.05
0943-9692	0.037
1748-5908	3.1
0263-841X	0.254
1071-2690	1.312
1054-5476	1.497
0258-851X	1.264
1121-7588	0.178
0926-6690	2.469
1542-894X	0.059
0888-5885	2.237
0019-8366	0.94
0036-8792	0.35
0263-5577	1.472
0143-991X	0.603
1222-5347	0.291
0019-3577	0.195
0019-5022	0.17
0367-6722	0.02
0367-8318	0.122
0301-1208	1.142
0972-5849	0.55
0376-4710	0.891
0376-4699	0.648
0971-457X	0.606
0378-6323	0.979
0971-4588	0.223
0019-5189	1.295
0970-6011	0.04
0019-5200	0.184
0971-4502	0.056
0971-1627	0.205
0972-8538	0.181
0379-5136	0.422
0255-0857	0.988
0971-5916	1.837
0046-8991	0.511
0301-4738	1.019
0019-5413	0.503
2231-3796	0.033
0377-4929	0.676
0019-5456	0.521
0019-5464	0.106
0250-474X	0.626
0019-5472	0.727
0973-1458	0.381
0019-5588	0.294
0019-5596	0.763
0972-2068	0.081
0972-5938	0.399
0019-6061	1.048
0905-6947	2.55
1420-326X	2
0020-0883	0.26
1392-124X	0.88
0899-823X	3.669
0891-5520	3.029
1567-1348	3.128
0019-9567	4.165
0749-6524	0.2
0300-8126	2.659
0219-0257	0.7
1078-0998	4.855
1023-3830	2.109
0360-3997	1.747
1750-2640	4.157
0315-5986	0.295
0890-5401	0.56
1566-2535	1.467
1753-8157	0.872
0378-7206	2.214
0352-9045	0.296
0020-0190	0.455
0306-4573	1.119
1386-4564	0.914
0020-0255	2.833
0950-5849	1.25
0306-4379	1.198
1387-3326	0.912
1058-0530	0.578
0730-9295	0.25
1473-8716	0.889
0868-4952	1.627
1343-4500	0.25
1091-9856	1.076
1350-4495	1.296
0186-4076	0.209
0797-4930	0.032
0895-8378	1.919
0020-1383	1.975
1353-8047	1.392
1995-0829	0.269
1753-4259	4
1466-8564	3.03
0020-1669	4.601
1387-7003	1.972
0020-1693	1.846
0020-1685	0.414
0046-9580	0.826
0990-0632	 
0965-1748	3.246
1752-458X	1.705
0962-1075	2.529
1672-9609	1.103
0020-1812	1.696
1399-560X	0.686
1354-2575	0.571
0020-4412	0.361
1073-9149	0.43
0167-6687	1.288
0236-8722	1.574
0392-9590	1.652
1683-3198	0.127
1018-2438	2.403
0340-0131	1.889
0964-8305	2.074
1677-5538	1.065
0268-1315	2.918
0735-1933	1.892
0958-6946	2.401
0020-6539	0.963
0143-2885	2.179
1559-2448	0.283
1465-5489	1.288
0020-6814	2.067
1349-2365	1.164
0953-8178	3.415
1567-5769	2.376
0164-7954	0.568
1027-5851	0.421
1743-8225	0.848
0890-6327	0.913
0143-7496	2.17
0268-3768	1.103
1729-8806	0.375
1475-472X	0.943
1473-5903	1.696
1560-8530	0.94
0973-1903	0.013
0218-1967	0.453
0105-6263	3.591
1687-5869	0.468
0924-8579	4.128
1641-876X	0.487
1546-542X	1.384
0303-2434	1.744
1383-5416	0.122
1758-8251	1.165
1542-2666	0.288
0888-613X	1.948
1558-3058	0.235
0218-2130	0.217
0391-3988	1.861
1473-5504	1.723
2157-7277	 
1499-2027	1.396
1229-9138	0.606
1479-5868	3.828
0218-1274	0.755
1357-2725	4.634
0141-8130	2.453
0393-6155	1.479
1449-2288	2.699
1793-5245	0.364
0020-7128	2.254
1557-4679	1.284
0020-7136	5.444
0167-5273	7.078
1569-5794	2.285
1364-0461	0.52
0538-8066	1.007
1542-6580	0.79
0098-9886	1.625
1239-9736	1.06
1735-0522	0.695
0899-8418	2.906
1936-2625	1.893
1341-9625	1.41
0946-1965	1.183
2210-7703	 
1368-5031	2.415
0955-6222	0.519
0166-5162	2.542
1939-2699	0.289
0179-1958	2.385
1074-5351	0.406
0219-8762	0.761
1861-6410	1.481
1841-9836	0.438
1061-8562	0.943
0218-1959	0.292
0951-192X	1.071
0020-7160	0.499
0920-5691	3.741
0020-7179	0.977
1598-6446	0.749
0218-8430	1.278
1358-8265	0.789
1364-727X	1.107
1056-7895	1.928
1748-5673	0.429
1548-3924	0.2
1601-5029	0.871
0011-9059	1.142
1991-3761	0.632
0214-6282	2.823
0736-5748	2.418
0973-3930	0.569
1753-8947	1.083
1565-012X	0.3
1550-1329	0.203
1433-2833	0.405
1437-3254	2.342
0276-3478	2.947
0020-7209	0.119
0142-0615	2.247
1452-3981	3.729
0020-7217	0.44
1086-4415	1.55
1687-8337	1.867
0363-907X	2.122
0949-149X	0.418
0020-7225	1.21
1468-0874	0.969
1661-7827	1.605
0306-7319	1.162
0960-3123	0.864
0957-4352	0.361
1735-6865	1.462
1735-1472	3.051
0300-5771	6.414
1742-8297	0.894
0959-9673	2.566
0142-1123	1.546
2008-076X	0.439
1556-3758	0.463
0168-1605	3.327
1094-2912	0.668
0963-7486	1.151
0950-5423	1.259
0129-0541	0.379
0376-9429	1.485
1562-2479	1.157
0020-7276	0.3
0308-1079	0.667
1365-8816	1.472
0219-8878	0.856
0885-6230	2.419
1873-9598	0.184
1758-2083	0.4
1543-5075	1.188
1750-5836	5.111
1048-891X	1.646
0020-7292	2.045
0277-1691	1.453
0020-7314	1.205
0142-727X	1.927
0017-9310	2.407
1744-232X	0.2
0925-5710	1.268
1094-3420	0.643
0972-3757	0.306
0219-8436	0.373
1044-7318	0.949
1071-5819	1.171
0360-3199	4.054
1438-4639	3.809
0265-6736	1.923
0899-9457	0.779
1744-3121	1.29
0394-6320	2.991
0734-743X	1.701
0955-9930	1.712
1943-670X	0.154
0169-8141	1.26
1615-5262	0.421
1201-9712	1.938
0884-8173	1.653
1751-5521	1.176
1368-2822	1.946
0937-9827	2.587
0948-3349	2.362
1534-7346	1.2
0890-6955	2.169
1479-8751	0.059
1387-3806	2.549
0268-1900	0.315
1862-5282	0.83
0129-167X	0.397
0020-7403	1.231
1386-5056	2.414
1438-4221	4.173
1521-9437	0.895
1478-5951	1.588
1449-1907	2.244
1445-8330	1.071
1939-5981	0.42
1049-8931	2.462
1674-4799	0.691
1748-0930	0.222
0301-7516	1.304
0217-751X	1.053
0217-9792	0.324
0129-1831	0.57
0218-2718	1.183
0218-3013	0.597
1107-3756	1.573
1661-6596	2.598
0717-9502	0.244
0301-9322	2.23
1543-1649	0.647
1178-2013	3.13
1475-7435	1.013
2092-6782	0.231
1055-7148	0.222
0129-0657	4.284
1461-1457	4.578
0020-7454	0.967
0020-7462	1.209
1565-1339	1.484
1793-0421	0.342
0363-9061	0.936
1705-5105	0.624
2040-7939	1.409
0029-5981	2.009
0271-2091	1.176
0961-5539	0.752
0894-3370	0.6
1322-7114	0.716
0020-7489	2.178
0307-0565	4.691
0959-289X	1.395
1077-3525	1.035
1232-1087	1.227
1388-7890	0.614
1053-5381	0.333
1753-3309	0.225
1019-6439	2.399
2222-3959	0.04
1559-9612	0.556
0882-2786	1.776
0901-5027	1.506
1674-2818	1.411
1746-0689	0.195
0960-7439	1.008
0885-7458	0.569
0020-7519	3.393
0218-0014	0.624
1029-8436	0.402
1747-7166	2.986
0165-5876	1.167
1573-3149	0.986
0198-7569	1.197
0967-0874	0.488
0378-5173	3.35
1811-7775	1.503
1110-662X	1.769
1522-6514	1.298
1735-6814	1.1
1058-5893	1.643
0749-6419	4.603
1023-666X	1.412
0091-4037	1.204
0888-7462	0.5
2234-7593	1.141
0308-0161	0.989
0164-0291	1.538
0925-5273	1.76
0020-7543	1.115
0893-2174	1.376
1365-1501	0.427
0091-2174	1.029
0167-8760	2.144
1661-8556	2.539
1353-4505	1.958
0020-7608	1.357
0219-7499	0.67
0955-3002	2.275
0360-3016	4.105
0263-4368	1.693
0140-7007	1.817
0342-5282	1.083
0143-1161	1.117
1096-4290	0.591
1756-1841	0.807
0826-8185	0.288
0278-3649	3.107
1049-8923	1.554
1365-1609	1.272
1542-0973	1.645
1001-6279	1.082
1552-6283	2.308
1748-1279	1.386
0218-1940	0.129
0020-7683	1.857
0392-6672	2
1526-484X	2.01
1555-0265	1.796
0047-0767	1.034
0172-4622	2.433
0956-4624	1.086
1598-2351	0.426
1747-4930	2.382
0219-4554	0.45
1749-785X	0.414
1743-9191	1.293
1066-8969	1
1350-4509	0.965
1466-5026	2.268
0020-7721	0.991
0266-4623	1.365
0957-7572	0.412
0267-5730	0.516
0020-7748	0.845
1290-0729	2.142
0195-928X	0.953
1091-5818	1.282
1027-3719	2.731
0334-0082	0.025
0218-4885	1.781
1548-7199	0.648
0919-8172	1.747
1749-7701	0.07
0143-3369	0.457
1473-3315	0.185
0300-9831	0.877
0790-0627	0.795
1741-1106	1.919
1545-7362	0.371
1049-8001	2.231
0950-6608	6.962
1073-7928	1.014
1341-2051	0.2
0020-8132	1.038
0341-2695	2.025
0930-777X	0.345
1041-6102	2.24
1937-6448	4.481
0074-7696	 
1434-2944	1.19
0883-0185	3.426
0074-7742	2.352
0144-235X	5.967
1528-3356	0.73
0306-7734	0.54
0020-8841	0.138
0020-8868	0.361
0969-6016	0.648
0937-3462	1.832
0301-1623	1.471
1742-4801	1.458
1757-9694	4.509
1534-7354	2.136
1540-7063	2.447
1069-2509	3.451
0378-620X	0.626
1058-4587	0.3
1065-2469	0.759
1749-4877	1.208
0167-9260	0.646
1079-8587	0.116
1088-467X	0.448
0342-4642	5.399
0953-5438	1.233
0378-1844	0.308
0308-0188	0.275
2042-8898	 
1463-9963	0.795
0092-2102	0.843
0966-9795	1.649
1828-0447	2.057
1444-0903	1.541
0918-2918	0.936
1066-2243	1.115
0020-9554	0.3
1591-0199	0.565
0300-5526	2.337
0020-9910	2.339
0266-5611	1.88
1930-8337	1.074
1741-5977	0.622
1077-8306	1.306
1354-2516	1.32
0792-4259	0.478
1445-5226	1.351
1131-7965	0.667
0535-5133	0.345
0167-6997	3.357
0146-0404	3.597
0020-9996	4.593
0947-7047	1.288
1120-5776	0.05
1735-1502	0.508
1735-7179	0.526
2008-3866	0.324
1021-9986	0.25
1735-1979	1.181
1562-2916	0.984
1735-0654	1.056
1735-8582	0.87
1735-4153	0.065
1735-7020	0.421
2008-2142	0.292
1735-0328	0.637
2251-6085	0.378
1728-4554	0.262
1735-1065	0.053
1680-6433	0.257
1028-6276	0.029
1028-6284	0.375
1728-1997	0.281
1026-1265	0.936
1561-4395	0.371
1959-0318	0.315
0791-6833	1
0021-1265	0.581
0368-0762	0.331
0301-9233	0.559
1531-0353	0.922
0342-7188	1.635
0019-0578	1.109
1300-3615	0.229
0915-1559	0.895
0021-1753	0.779
1038-4871	1.012
1938-2014	1.123
1751-7362	7.375
0959-3020	0.349
1025-6016	0.9
0924-2716	2.885
0792-156X	0.944
0021-2148	1.535
1565-9801	0.388
0021-2172	0.745
0792-9978	0.307
0333-7308	0.676
0334-9152	0.296
1565-1088	1.018
0748-5492	0.652
1594-4077	0.342
1120-1770	0.534
2038-1719	0.273
1720-8424	0.791
1129-8596	0.295
1824-4777	0.028
1125-0003	0.939
0162-8178	0.112
1699-6887	0.25
1521-6543	3.514
0001-4338	0.441
1064-5632	0.488
1069-3513	0.317
1091-8531	1.028
0004-5411	2.353
0001-4966	1.55
1932-0620	1.951
1088-4602	0.528
1461-5185	1.114
0169-4243	0.948
0021-8464	1.31
1054-139X	3.334
1346-8014	0.477
1070-9789	0.177
1881-3054	0.205
0309-2402	1.477
1203-8407	0.806
0197-6729	0.643
1940-3151	0.281
1941-2711	2.2
0021-8502	2.447
0893-1321	0.697
0165-0327	3.517
1464-343X	1.025
1063-8652	2.085
1085-7117	1.21
0021-857X	1.551
1187-7863	1.109
0021-8561	2.823
1068-5502	0.71
1612-9830	0.247
0021-8596	2.041
1680-7073	0.436
0041-994X	0
1523-5475	0.111
1059-924X	0.559
0972-1665	0.114
0931-2250	2.433
1096-2247	1.517
0021-8669	0.538
0925-9899	0.752
0021-8693	0.613
0219-4988	0.483
1056-3911	0.932
0196-6774	0.5
0091-6749	11.003
0925-8388	2.289
1075-5535	1.585
1387-2877	3.745
1050-0545	1.296
0890-8567	6.444
0190-9622	3.991
1041-2972	0.818
1067-151X	2.662
0587-2871	0.964
1559-6109	0.708
1557-2625	2.053
0002-7820	2.272
0002-7863	9.907
0735-1097	14.156
0731-5724	2.29
1072-7515	4.549
0002-8177	1.773
0002-8223	3.586
0002-8614	3.737
0002-8711	0.549
0002-9726	0.747
0894-0347	3.841
1525-8610	4.645
1067-5027	3.609
0003-021X	1.773
1544-3191	1.476
8750-7315	0.567
1527-3741	0.429
0361-0470	1.016
0894-7317	3.707
0003-1062	0.938
1933-1711	2.123
1532-2882	2.081
1044-0305	4.002
1046-6673	9.663
0162-1459	1.992
1093-474X	1.782
2164-4535	0.633
1876-1364	0.63
0165-2370	2.487
0267-9477	3.22
1061-9348	0.747
0021-7670	0.783
0146-4760	2.022
0021-8782	2.37
0003-2778	0.056
0196-3635	2.968
0913-8668	0.831
0931-2668	1.455
0021-8790	4.937
1230-1388	0.636
0931-2439	0.855
1018-7081	0.585
0021-8812	2.096
1680-5593	0.39
0021-8820	1.651
0305-7453	5.068
1060-3271	1.199
1643-4439	0.674
0021-8839	1.531
0971-2119	0.4
1088-8705	0.729
1722-6899	0.761
1065-8483	0.761
1214-021X	1.933
1613-9216	0.429
1526-9914	1.291
0021-8898	5.152
0021-8901	5.045
0021-891X	1.745
0931-2048	1.311
1234-1983	1.664
0926-9851	1.444
0175-8659	0.869
1570-8683	0.574
1110-757X	0.656
0021-8944	0.233
0021-8936	0.949
1558-8424	1.799
1364-5072	2.337
1678-7757	0.575
0921-8971	2.411
0021-8979	2.168
8750-7587	3.753
0021-8995	1.289
